tick,MEMRD_ADDR,MEMRD_DATA,CD16,FIDBO,RA,RT,RD,RB,RX,CSA_12_0
45504074,0,0,51000,1,125,5252,10,1164,5,4342
45504075,0,0,51000,51000,125,5252,10,1164,5,4342
45504076,0,0,51000,51000,125,5252,10,1164,5,4343
45504077,0,0,51000,51000,125,5252,10,1164,5,4343
45504078,0,0,177400,177400,125,5252,10,1164,5,4343
45504079,0,0,177400,177400,125,5252,10,1164,5,4344
45504087,0,0,51125,51125,125,5252,10,1164,5,0
45504088,0,0,51125,51125,125,5252,10,1164,5,0
45504089,5254,0,51125,51125,125,5252,10,1164,5,0
# MARK w2 tick=45504089
45504090,5254,0,51125,51125,125,5252,10,1164,5,0
45504091,0,0,51125,51125,125,5252,10,1164,5,0
45504092,51125,0,51125,51125,125,5252,10,1164,5,0
45504093,51125,0,0,0,125,5252,10,1164,5,0
45504094,51125,0,0,0,125,5252,10,1164,5,0
45504095,51125,0,0,0,125,5252,10,1164,5,2001
45504096,51125,0,0,0,125,5252,10,1164,5,16423
45504097,51125,0,0,0,125,5252,10,1164,5,16423
45504098,51125,0,0,0,125,5252,10,1164,5,0
45504099,0,0,0,0,125,5252,10,1164,5,0
45504100,22423,0,0,0,125,5252,10,1164,5,0
45504101,22423,0,0,0,125,5252,10,1164,5,6000
45504102,0,0,0,0,125,5252,10,1164,5,6000
45504103,0,0,0,0,125,5252,10,1164,5,6000
45504104,0,0,0,0,125,5252,10,1164,5,6000
45504105,0,5013,5013,0,125,5252,10,1164,5,6050
45505774,0,0,0,1,6,5252,55345,7753,5,4333
45505775,0,0,0,1,6,5252,55345,7753,5,4333
45505776,5254,0,0,1,6,5252,55345,7753,5,4333
# MARK w2 tick=45505776
45505777,5254,0,0,1,6,5252,55345,7753,5,4333
45505778,0,0,0,1,6,5252,55345,7753,5,4333
45505779,0,0,0,1,6,5252,55345,7753,5,4333
45505780,0,0,0,1,6,5252,55345,7753,5,4333
45505781,0,51125,51125,1,6,5252,55345,7753,5,4333
45505782,0,51125,51125,1,6,5252,55345,7753,5,4333
45505783,0,51125,51125,1,6,5252,55345,7753,5,4333
45505784,0,51125,51125,1,6,5252,55345,7753,5,4333
45505785,0,0,51125,1,6,5252,55345,7753,5,4333
45505786,0,0,51125,1,6,5252,55345,7753,5,4333
45505787,0,0,51125,1,6,5252,55345,7753,5,4333
45505788,0,0,51125,51125,6,5252,55345,7753,5,4333
45505789,0,0,51125,51125,6,5252,55345,7753,5,4334
45505790,0,0,51125,51125,6,5252,55345,7753,5,377
45505791,0,0,0,377,6,5252,55345,7753,5,377
45505792,0,0,0,377,6,5252,55345,7753,5,377
45540146,0,0,0,1,125,12023,55672,7707,5,4342
45540147,0,0,0,1,125,12023,55672,7707,5,4342
45540148,12025,0,0,1,125,12023,55672,7707,5,4342
# MARK w2 tick=45540148
45540149,12025,0,0,1,125,12023,55672,7707,5,4342
45540150,0,0,0,1,125,12023,55672,7707,5,4342
45540151,0,0,0,1,125,12023,55672,7707,5,4342
45540152,0,0,0,1,125,12023,55672,7707,5,4342
45540153,0,51000,51000,1,125,12023,55672,7707,5,4342
45540154,0,51000,51000,1,125,12023,55672,7707,5,4342
45540155,0,51000,51000,1,125,12023,55672,7707,5,4342
45540156,0,51000,51000,1,125,12023,55672,7707,5,4342
45540157,0,0,51000,1,125,12023,55672,7707,5,4342
45540158,0,0,51000,1,125,12023,55672,7707,5,4342
45540159,0,0,51000,1,125,12023,55672,7707,5,4342
45540160,0,0,51000,51000,125,12023,55672,7707,5,4342
45540161,0,0,51000,51000,125,12023,55672,7707,5,4343
45540162,0,0,51000,51000,125,12023,55672,7707,5,4343
45540163,0,0,177400,177400,125,12023,55672,7707,5,4343
45540164,0,0,177400,177400,125,12023,55672,7707,5,4344
45540172,0,0,51125,51125,125,12023,55672,7707,5,0
45540173,0,0,51125,51125,125,12023,55672,7707,5,0
45540174,12025,0,51125,51125,125,12023,55672,7707,5,0
# MARK w2 tick=45540174
45540175,12025,0,51125,51125,125,12023,55672,7707,5,0
45540176,0,0,51125,51125,125,12023,55672,7707,5,0
45540177,51125,0,51125,51125,125,12023,55672,7707,5,0
45540178,51125,0,0,0,125,12023,55672,7707,5,0
45540179,51125,0,0,0,125,12023,55672,7707,5,0
45540180,51125,0,0,0,125,12023,55672,7707,5,2001
45540181,51125,0,0,0,125,12023,55672,7707,5,16166
45540182,51125,0,0,0,125,12023,55672,7707,5,16166
45540183,51125,0,0,0,125,12023,55672,7707,5,0
45540184,0,0,0,0,125,12023,55672,7707,5,0
45540185,20166,0,0,0,125,12023,55672,7707,5,0
45540186,20166,0,0,0,125,12023,55672,7707,5,6000
45540187,0,0,0,0,125,12023,55672,7707,5,6000
45540188,0,0,0,0,125,12023,55672,7707,5,6000
45540189,0,0,0,0,125,12023,55672,7707,5,6000
45540190,0,44612,44612,0,125,12023,55672,7707,5,6446
47402126,0,0,0,1,4,12023,55672,7602,4,4334
47402127,0,0,0,1,4,12023,55672,7602,4,4334
47402128,12025,0,0,1,4,12023,55672,7602,4,4334
# MARK w2 tick=47402128
47402129,12025,0,0,1,4,12023,55672,7602,4,4334
47402130,0,0,0,1,4,12023,55672,7602,4,4334
47402131,0,0,0,1,4,12023,55672,7602,4,4334
47402132,0,0,0,1,4,12023,55672,7602,4,4334
47402133,0,51125,51125,1,4,12023,55672,7602,4,4334
47402134,0,51125,51125,1,4,12023,55672,7602,4,4334
47402135,0,51125,51125,1,4,12023,55672,7602,4,4334
47402136,0,51125,51125,1,4,12023,55672,7602,4,4334
47402137,0,0,51125,1,4,12023,55672,7602,4,4334
47402138,0,0,51125,1,4,12023,55672,7602,4,4334
47402139,0,0,51125,1,4,12023,55672,7602,4,4334
47402140,0,0,51125,51125,4,12023,55672,7602,4,4334
47402141,0,0,51125,51125,4,12023,55672,7602,4,4334
47402142,0,0,51125,51125,4,12023,55672,7602,4,4333
47402143,0,0,52522,52522,4,12023,55672,7602,4,4333
47402144,0,0,52522,52522,4,12023,55672,7602,4,4333
47408278,0,0,0,1,4,12023,55672,7602,4,4334
47408279,0,0,0,1,4,12023,55672,7602,4,4334
47408280,12025,0,0,1,4,12023,55672,7602,4,4334
# MARK w2 tick=47408280
47408281,12025,0,0,1,4,12023,55672,7602,4,4334
47408282,0,0,0,1,4,12023,55672,7602,4,4334
47408283,0,0,0,1,4,12023,55672,7602,4,4334
47408284,0,0,0,1,4,12023,55672,7602,4,4334
47408285,0,51125,51125,1,4,12023,55672,7602,4,4334
47408286,0,51125,51125,1,4,12023,55672,7602,4,4334
47408287,0,51125,51125,1,4,12023,55672,7602,4,4334
47408288,0,51125,51125,1,4,12023,55672,7602,4,4334
47408289,0,0,51125,1,4,12023,55672,7602,4,4334
