tick,CSA,AREG,TREG,RP,RA,RT,RX,RB,RD,RL,MEMRD_ADDR,MEMRD_DATA,QREG,DBR
45505818,0,125,5252,22450,125,5252,5,7753,55345,11265,125,0,51125,125
45505819,2001,125,5252,22450,125,5252,5,7753,55345,11265,125,0,51125,125
45505820,16450,125,5252,22450,125,5252,5,7753,55345,11265,125,0,51125,125
45505821,16450,125,5252,22450,125,5252,5,7753,55345,11265,125,0,51125,125
45505822,0,125,5252,22450,125,5252,5,7753,55345,11265,125,0,51125,125
45505823,0,125,5252,22450,125,5252,5,7753,55345,11265,0,0,51125,125
45505824,0,125,5252,22450,125,5252,5,7753,55345,11265,22450,0,51125,125
45505825,6000,125,5252,22450,125,5252,5,7753,55345,11265,22450,0,51125,125
45505826,6000,125,5252,22450,125,5252,5,7753,55345,11265,0,0,51125,125
45505827,6000,125,5252,22450,125,5252,5,7753,55345,11265,0,0,51125,125
45505828,6000,125,5252,22450,125,5252,5,7753,55345,11265,0,0,51125,125
45505829,7465,125,5252,22450,125,5252,5,7753,55345,11265,0,146575,51125,125
45505830,7465,125,5252,22450,125,5252,5,7753,55345,11265,0,146575,51125,125
45505831,7465,125,5252,22450,125,5252,5,7753,55345,11265,0,146575,51125,125
45505832,7465,125,5252,22450,125,5252,5,7753,55345,11265,0,146575,51125,125
45505833,7465,125,5252,22450,125,5252,5,7753,55345,11265,0,0,51125,125
45505834,7465,125,5252,22450,125,5252,5,7753,55345,11265,0,0,51125,125
45505835,7465,125,5252,22450,125,5252,5,7753,55345,11265,0,0,51125,125
45505836,145,125,5252,22451,125,5252,5,7753,55345,11265,0,0,51125,146575
45505837,145,125,5252,22451,125,5252,5,7753,55345,11265,0,0,51125,146575
45505838,0,125,5252,22451,125,5252,5,7753,55345,11265,0,0,51125,146575
45505839,16451,125,5252,22451,125,5252,5,7753,55345,11265,0,0,51125,146575
45505840,16451,125,5252,22451,125,5252,5,7753,55345,11265,0,0,51125,146575
45505841,0,125,5252,22451,125,5252,5,7753,55345,11265,22451,0,51125,146575
45505842,6000,125,5252,22451,125,5252,5,7753,55345,11265,22451,0,51125,146575
45505843,6000,125,5252,22451,125,5252,5,7753,55345,11265,0,0,51125,146575
45505844,6000,125,5252,22451,125,5252,5,7753,55345,11265,0,0,51125,146575
45505845,6000,125,5252,22451,125,5252,5,7753,55345,11265,0,0,51125,146575
45505846,6050,125,5252,22451,125,5252,5,7753,55345,11265,0,5010,51125,146575
45505847,6050,125,5252,22451,125,5252,5,7753,55345,11265,0,5010,51125,146575
45505848,6050,125,5252,22451,125,5252,5,7753,55345,11265,0,5010,51125,146575
45505849,6050,125,5252,22451,125,5252,5,7753,55345,11265,0,5010,51125,146575
45505850,6050,125,5252,22451,125,5252,5,7753,55345,11265,0,0,51125,146575
45505851,6050,125,5252,22451,125,5252,5,7753,55345,11265,0,0,51125,146575
45505852,6050,125,5252,22451,125,5252,5,7753,55345,11265,0,0,51125,146575
45505853,101,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5010
45505854,101,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5010
45505855,145,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5010
45505856,145,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5010
45505857,145,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5010
45505858,145,6,5252,22452,6,5252,5,7753,55345,11265,22461,0,51125,5010
45505859,145,6,5252,22452,6,5252,5,7753,55345,11265,22461,0,51125,5010
45505860,145,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5010
45505861,145,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5010
45505862,145,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5010
45505863,145,6,5252,22452,6,5252,5,7753,55345,11265,0,5311,51125,5010
45505864,145,6,5252,22452,6,5252,5,7753,55345,11265,0,5311,51125,5010
45505865,145,6,5252,22452,6,5252,5,7753,55345,11265,0,5311,51125,5010
45505866,145,6,5252,22452,6,5252,5,7753,55345,11265,0,5311,51125,5010
45505867,145,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5010
45505868,145,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5010
45505869,145,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5010
45505870,145,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5311
45505871,145,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5311
45505872,0,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5311
45505873,0,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5311
45505874,0,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5311
45505875,0,6,5252,22452,6,5252,5,7753,55345,11265,5311,0,51125,5311
45505876,0,6,5252,22452,6,5252,5,7753,55345,11265,5311,0,51125,5311
45505877,0,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5311
45505878,0,6,5252,22452,6,5252,5,7753,55345,11265,6,0,51125,5311
45505879,0,6,5252,22452,6,5252,5,7753,55345,11265,6,0,51125,5311
45505880,0,6,5252,22452,6,5252,5,7753,55345,11265,6,0,51125,5311
45505881,2001,6,5252,22452,6,5252,5,7753,55345,11265,6,0,51125,5311
45505882,16452,6,5252,22452,6,5252,5,7753,55345,11265,6,0,51125,5311
45505883,16452,6,5252,22452,6,5252,5,7753,55345,11265,6,0,51125,5311
45505884,0,6,5252,22452,6,5252,5,7753,55345,11265,6,0,51125,5311
45505885,0,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5311
45505886,0,6,5252,22452,6,5252,5,7753,55345,11265,22452,0,51125,5311
45505887,6000,6,5252,22452,6,5252,5,7753,55345,11265,22452,0,51125,5311
45505888,6000,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5311
45505889,6000,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5311
45505890,6000,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5311
45505891,6510,6,5252,22452,6,5252,5,7753,55345,11265,0,51011,51125,5311
45505892,6510,6,5252,22452,6,5252,5,7753,55345,11265,0,51011,51125,5311
45505893,6510,6,5252,22452,6,5252,5,7753,55345,11265,0,51011,51125,5311
45505894,6510,6,5252,22452,6,5252,5,7753,55345,11265,0,51011,51125,5311
45505895,6510,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5311
45505896,6510,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5311
45505897,6510,6,5252,22452,6,5252,5,7753,55345,11265,0,0,51125,5311
45505898,117,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,51011
45505899,117,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,51011
45505900,172,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,51011
45505901,172,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,51011
45505902,172,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,51011
45505903,172,6,5252,22453,6,5252,5,7753,55345,11265,22463,0,51125,51011
45505904,172,6,5252,22453,6,5252,5,7753,55345,11265,22463,0,51125,51011
45505905,172,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,51011
45505906,172,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,51011
45505907,172,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,51011
45505908,172,6,5252,22453,6,5252,5,7753,55345,11265,0,5251,51125,51011
45505909,172,6,5252,22453,6,5252,5,7753,55345,11265,0,5251,51125,51011
45505910,172,6,5252,22453,6,5252,5,7753,55345,11265,0,5251,51125,51011
45505911,172,6,5252,22453,6,5252,5,7753,55345,11265,0,5251,51125,51011
45505912,172,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,51011
45505913,172,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,51011
45505914,172,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,51011
45505915,172,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,5251
45505916,172,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,5251
45505917,0,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,5251
45505918,0,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,5251
45505919,0,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,5251
45505920,0,6,5252,22453,6,5252,5,7753,55345,11265,5251,0,51125,5251
45505921,0,6,5252,22453,6,5252,5,7753,55345,11265,5251,0,51125,5251
45505922,0,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,5251
45505923,0,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,5251
45505924,0,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,5251
45505925,0,6,5252,22453,6,5252,5,7753,55345,11265,0,74,51125,5251
45505926,0,6,5252,22453,6,5252,5,7753,55345,11265,0,74,51125,5251
45505927,0,6,5252,22453,6,5252,5,7753,55345,11265,0,74,51125,5251
45505928,0,6,5252,22453,6,5252,5,7753,55345,11265,0,74,51125,5251
45505929,0,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,5251
45505930,0,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,5251
45505931,0,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,5251
45505932,0,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,74
45505933,0,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,74
45505934,2001,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,74
45505935,16453,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,74
45505936,16453,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,74
45505937,0,6,5252,22453,6,5252,5,7753,55345,11265,22453,0,51125,74
45505938,6000,6,5252,22453,6,5252,5,7753,55345,11265,22453,0,51125,74
45505939,6000,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,74
45505940,6000,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,74
45505941,6000,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,74
45505942,7400,6,5252,22453,6,5252,5,7753,55345,11265,0,140065,51125,74
45505943,7400,6,5252,22453,6,5252,5,7753,55345,11265,0,140065,51125,74
45505944,7400,6,5252,22453,6,5252,5,7753,55345,11265,0,140065,51125,74
45505945,7400,6,5252,22453,6,5252,5,7753,55345,11265,0,140065,51125,74
45505946,7400,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,74
45505947,7400,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,74
45505948,7400,6,5252,22453,6,5252,5,7753,55345,11265,0,0,51125,74
45505949,215,6,74,22454,6,74,5,7753,55345,11265,0,0,51125,140065
45505950,215,6,74,22454,6,74,5,7753,55345,11265,0,0,51125,140065
45505951,0,6,74,22454,6,74,5,7753,55345,11265,0,0,51125,140065
45505952,16454,6,74,22454,6,74,5,7753,55345,11265,0,0,51125,140065
45505953,16454,6,74,22454,6,74,5,7753,55345,11265,0,0,51125,140065
45505954,0,6,74,22454,6,74,5,7753,55345,11265,22454,0,51125,140065
45505955,6000,6,74,22454,6,74,5,7753,55345,11265,22454,0,51125,140065
45505956,6000,6,74,22454,6,74,5,7753,55345,11265,0,0,51125,140065
45505957,6000,6,74,22454,6,74,5,7753,55345,11265,0,0,51125,140065
45505958,6000,6,74,22454,6,74,5,7753,55345,11265,0,0,51125,140065
45505959,7240,6,74,22454,6,74,5,7753,55345,11265,0,124002,51125,140065
45505960,7240,6,74,22454,6,74,5,7753,55345,11265,0,124002,51125,140065
45505961,7240,6,74,22454,6,74,5,7753,55345,11265,0,124002,51125,140065
45505962,7240,6,74,22454,6,74,5,7753,55345,11265,0,124002,51125,140065
45505963,7240,6,74,22454,6,74,5,7753,55345,11265,0,0,51125,140065
45505964,7240,6,74,22454,6,74,5,7753,55345,11265,0,0,51125,140065
45505965,7240,6,74,22454,6,74,5,7753,55345,11265,0,0,51125,140065
45505966,0,6,74,22455,6,74,5,7753,55345,11265,0,0,51125,124002
45505967,0,6,74,22455,6,74,5,7753,55345,11265,0,0,51125,124002
45505968,2001,6,74,22455,6,74,5,7753,55345,11265,0,0,51125,124002
45505969,16456,6,74,22455,6,74,5,7753,55345,11265,0,0,51125,124002
45505970,16456,6,74,22455,6,74,5,7753,55345,11265,0,0,51125,124002
45505971,0,6,74,22455,6,74,5,7753,55345,11265,22456,0,51125,124002
45505972,6000,6,74,22455,6,74,5,7753,55345,11265,22456,0,51125,124002
45505973,6000,6,74,22455,6,74,5,7753,55345,11265,0,0,51125,124002
45505974,6000,6,74,22455,6,74,5,7753,55345,11265,0,0,51125,124002
45505975,6000,6,74,22455,6,74,5,7753,55345,11265,0,0,51125,124002
45505976,6446,6,74,22455,6,74,5,7753,55345,11265,0,44607,51125,124002
45505977,6446,6,74,22455,6,74,5,7753,55345,11265,0,44607,51125,124002
45505978,6446,6,74,22455,6,74,5,7753,55345,11265,0,44607,51125,124002
45505979,6446,6,74,22455,6,74,5,7753,55345,11265,0,44607,51125,124002
45505980,6446,6,74,22455,6,74,5,7753,55345,11265,0,0,51125,124002
45505981,6446,6,74,22455,6,74,5,7753,55345,11265,0,0,51125,124002
45505982,6446,6,74,22455,6,74,5,7753,55345,11265,0,0,51125,124002
45505983,170,6,74,22457,6,74,5,7753,55345,11265,0,0,51125,44607
45505984,170,6,74,22457,6,74,5,7753,55345,11265,0,0,51125,44607
45505985,0,6,74,22457,6,74,5,7753,55345,11265,0,0,51125,44607
45505986,0,6,74,22457,6,74,5,7753,55345,11265,0,0,51125,44607
45505987,0,6,74,22457,6,74,5,7753,55345,11265,0,0,51125,44607
45505988,0,6,74,22457,6,74,5,7753,55345,11265,7562,0,51125,44607
45505989,0,6,74,22457,6,74,5,7753,55345,11265,7562,0,51125,44607
45505990,0,6,74,22457,6,74,5,7753,55345,11265,0,0,51125,44607
45505991,0,6,74,22457,6,74,5,7753,55345,11265,0,0,51125,44607
45505992,0,6,74,22457,6,74,5,7753,55345,11265,0,0,51125,44607
45505993,0,6,74,22457,6,74,5,7753,55345,11265,0,125,51125,44607
45505994,0,6,74,22457,6,74,5,7753,55345,11265,0,125,51125,44607
45505995,0,6,74,22457,6,74,5,7753,55345,11265,0,125,51125,44607
45505996,0,6,74,22457,6,74,5,7753,55345,11265,0,125,51125,44607
45505997,0,6,74,22457,6,74,5,7753,55345,11265,0,0,51125,44607
45505998,0,6,74,22457,6,74,5,7753,55345,11265,0,0,51125,44607
45505999,0,6,74,22457,6,74,5,7753,55345,11265,0,0,51125,44607
45506000,0,6,74,22457,6,74,5,7753,55345,11265,0,0,51125,125
45506001,0,6,74,22457,6,74,5,7753,55345,11265,0,0,51125,125
45506002,2001,6,74,22457,6,74,5,7753,55345,11265,0,0,51125,125
45506003,16457,6,74,22457,6,74,5,7753,55345,11265,0,0,51125,125
45506004,16457,6,74,22457,6,74,5,7753,55345,11265,0,0,51125,125
45506005,0,6,74,22457,6,74,5,7753,55345,11265,22457,0,51125,125
45506006,6000,6,74,22457,6,74,5,7753,55345,11265,22457,0,51125,125
45506007,6000,6,74,22457,6,74,5,7753,55345,11265,0,0,51125,125
45506008,6000,6,74,22457,6,74,5,7753,55345,11265,0,0,51125,125
45506009,6000,6,74,22457,6,74,5,7753,55345,11265,0,0,51125,125
45506010,7350,6,74,22457,6,74,5,7753,55345,11265,0,135005,51125,125
45506011,7350,6,74,22457,6,74,5,7753,55345,11265,0,135005,51125,125
45506012,7350,6,74,22457,6,74,5,7753,55345,11265,0,135005,51125,125
45506013,7350,6,74,22457,6,74,5,7753,55345,11265,0,135005,51125,125
45506014,7350,6,74,22457,6,74,5,7753,55345,11265,0,0,51125,125
45506015,7350,6,74,22457,6,74,5,7753,55345,11265,0,0,51125,125
45506016,7350,6,74,22457,6,74,5,7753,55345,11265,0,0,51125,125
45506017,143,125,74,22460,125,74,5,7753,55345,11265,0,0,51125,135005
45506018,143,125,74,22460,125,74,5,7753,55345,11265,0,0,51125,135005
45506019,0,125,74,22460,125,74,5,7753,55345,11265,0,0,51125,135005
45506020,0,125,74,22460,125,74,5,7753,55345,11265,0,0,51125,135005
45506021,0,125,74,22460,125,74,5,7753,55345,11265,0,0,51125,135005
45506022,0,125,74,22460,125,74,5,7753,55345,11265,22464,0,51125,135005
45506023,0,125,74,22460,125,74,5,7753,55345,11265,22464,0,51125,135005
45506024,0,125,74,22460,125,74,5,7753,55345,11265,0,0,51125,135005
45506025,0,125,74,22460,125,74,5,7753,55345,11265,0,0,51125,135005
45506026,0,125,74,22460,125,74,5,7753,55345,11265,0,0,51125,135005
45506027,0,125,74,22460,125,74,5,7753,55345,11265,0,63206,51125,135005
45506028,0,125,74,22460,125,74,5,7753,55345,11265,0,63206,51125,135005
45506029,0,125,74,22460,125,74,5,7753,55345,11265,0,63206,51125,135005
45506030,0,125,74,22460,125,74,5,7753,55345,11265,0,63206,51125,135005
45506031,0,125,74,22460,125,74,5,7753,55345,11265,0,0,51125,135005
45506032,0,125,74,22460,125,74,5,7753,55345,11265,0,0,51125,135005
45506033,0,125,74,22460,125,74,5,7753,55345,11265,0,0,51125,135005
45506034,0,125,74,22460,125,74,5,7753,55345,22460,0,0,51125,63206
45506035,0,125,74,22460,125,74,5,7753,55345,22460,0,0,51125,63206
45506036,2001,125,74,22460,125,74,5,7753,55345,22460,0,0,51125,63206
45506037,17206,125,74,22460,125,74,5,7753,55345,22460,0,0,51125,63206
45506038,17206,125,74,22460,125,74,5,7753,55345,22460,0,0,51125,63206
45506039,0,125,74,22460,125,74,5,7753,55345,22460,0,0,51125,63206
45506040,0,125,74,22460,125,74,5,7753,55345,22460,0,0,51125,63206
45506041,0,125,74,22460,125,74,5,7753,55345,22460,0,0,51125,63206
45506042,0,125,74,22460,125,74,5,7753,55345,22460,0,0,51125,63206
45506043,0,125,74,22460,125,74,5,7753,55345,22460,0,0,51125,63206
45506044,0,125,74,22460,125,74,5,7753,55345,22460,0,0,51125,63206
