tick,UART_DIN,UART_CE_n,UART_WR,UART_ADDR,FIDBO,CD16,RP,RD,RB,RL,RA,RT,RX,CSA_12_0
71925766,40,0,1,0,40,40,3044,55672,7672,3026,40,305,7504,476
71958547,126,0,1,0,126,126,3044,55672,7672,3026,126,305,7504,476
# MARK wr tick=71958547
71958548,126,0,1,0,126,126,3044,55672,7672,3026,126,305,7504,476
71990342,145,0,1,0,145,145,3044,55672,7672,3026,145,305,7504,476
# MARK wr tick=71990342
71990343,145,0,1,0,145,145,3044,55672,7672,3026,145,305,7504,476
72016516,162,0,1,0,162,162,3044,55672,7672,3026,162,305,7504,476
# MARK wr tick=72016516
72016517,162,0,1,0,162,162,3044,55672,7672,3026,162,305,7504,476
72048323,163,0,1,0,163,163,3044,55672,7672,3026,163,305,7504,476
# MARK wr tick=72048323
72048324,163,0,1,0,163,163,3044,55672,7672,3026,163,305,7504,476
72080064,151,0,1,0,151,151,3044,55672,7672,3026,151,305,7504,476
# MARK wr tick=72080064
72080065,151,0,1,0,151,151,3044,55672,7672,3026,151,305,7504,476
72106209,157,0,1,0,157,157,3044,55672,7672,3026,157,305,7504,476
# MARK wr tick=72106209
72106210,157,0,1,0,157,157,3044,55672,7672,3026,157,305,7504,476
72137961,156,0,1,0,156,156,3044,55672,7672,3026,156,305,7504,476
# MARK wr tick=72137961
72137962,156,0,1,0,156,156,3044,55672,7672,3026,156,305,7504,476
72164104,72,0,1,0,72,72,3044,55672,7672,3026,72,305,7504,476
# MARK wr tick=72164104
72164105,72,0,1,0,72,72,3044,55672,7672,3026,72,305,7504,476
72195834,40,0,1,0,40,40,3044,55672,7672,3026,40,305,7504,476
# MARK wr tick=72195834
72195835,40,0,1,0,40,40,3044,55672,7672,3026,40,305,7504,476
72221995,103,0,1,0,103,103,3044,55672,7672,3026,103,305,7504,476
# MARK wr tick=72221995
72221996,103,0,1,0,103,103,3044,55672,7672,3026,103,305,7504,476
72253788,60,0,1,0,60,60,3044,55672,7672,3026,60,305,7504,476
# MARK wr tick=72253788
72253789,60,0,1,0,60,60,3044,55672,7672,3026,60,305,7504,476
72279921,63,0,1,0,63,63,3044,55672,7672,3026,63,305,7504,476
# MARK wr tick=72279921
72279922,63,0,1,0,63,63,3044,55672,7672,3026,63,305,7504,476
72311730,40,0,1,0,40,40,3044,55672,7672,3026,40,305,7504,476
# MARK wr tick=72311730
72311731,40,0,1,0,40,40,3044,55672,7672,3026,40,305,7504,476
72343531,55,0,1,0,55,55,3044,55672,7672,3026,55,305,7504,476
# MARK wr tick=72343531
72343532,55,0,1,0,55,55,3044,55672,7672,3026,55,305,7504,476
72370673,40,0,1,0,40,40,3044,55672,7672,3026,40,305,7504,476
# MARK wr tick=72370673
72370674,40,0,1,0,40,40,3044,55672,7672,3026,40,305,7504,476
72402496,61,0,1,0,61,61,3044,55672,7672,3026,61,305,7504,476
# MARK wr tick=72402496
72402497,61,0,1,0,61,61,3044,55672,7672,3026,61,305,7504,476
72434242,71,0,1,0,71,71,3044,55672,7672,3026,71,305,7504,476
# MARK wr tick=72434242
72434243,71,0,1,0,71,71,3044,55672,7672,3026,71,305,7504,476
72460403,70,0,1,0,70,70,3044,55672,7672,3026,70,305,7504,476
# MARK wr tick=72460403
72460404,70,0,1,0,70,70,3044,55672,7672,3026,70,305,7504,476
72492164,70,0,1,0,70,70,3044,55672,7672,3026,70,305,7504,476
# MARK wr tick=72492164
72492165,70,0,1,0,70,70,3044,55672,7672,3026,70,305,7504,476
72518296,55,0,1,0,55,55,3044,55672,7672,3026,55,305,7504,476
# MARK wr tick=72518296
72518297,55,0,1,0,55,55,3044,55672,7672,3026,55,305,7504,476
72550034,60,0,1,0,60,60,3044,55672,7672,3026,60,305,7504,476
# MARK wr tick=72550034
72550035,60,0,1,0,60,60,3044,55672,7672,3026,60,305,7504,476
72576195,63,0,1,0,63,63,3044,55672,7672,3026,63,305,7504,476
# MARK wr tick=72576195
72576196,63,0,1,0,63,63,3044,55672,7672,3026,63,305,7504,476
72608008,55,0,1,0,55,55,3044,55672,7672,3026,55,305,7504,476
# MARK wr tick=72608008
72608009,55,0,1,0,55,55,3044,55672,7672,3026,55,305,7504,476
72634169,60,0,1,0,60,60,3044,55672,7672,3026,60,305,7504,476
# MARK wr tick=72634169
72634170,60,0,1,0,60,60,3044,55672,7672,3026,60,305,7504,476
72665944,64,0,1,0,64,64,3044,55672,7672,3026,64,305,7504,476
# MARK wr tick=72665944
72665945,64,0,1,0,64,64,3044,55672,7672,3026,64,305,7504,476
72706211,15,0,1,0,15,15,3044,55672,7672,3026,15,305,7504,476
# MARK wr tick=72706211
72706212,15,0,1,0,15,15,3044,55672,7672,3026,15,305,7504,476
72731961,12,0,1,0,12,12,3044,55672,7672,3026,12,305,7504,476
# MARK wr tick=72731961
72731962,12,0,1,0,12,12,3044,55672,7672,3026,12,305,7504,476
72764706,40,0,1,0,40,40,3044,55672,7672,3026,40,305,7504,476
# MARK wr tick=72764706
72764707,40,0,1,0,40,40,3044,55672,7672,3026,40,305,7504,476
72796512,15,0,1,0,15,15,3044,55672,7672,3026,15,305,7504,476
# MARK wr tick=72796512
72796513,15,0,1,0,15,15,3044,55672,7672,3026,15,305,7504,476
72822257,12,0,1,0,12,12,3044,55672,7672,3026,12,305,7504,476
# MARK wr tick=72822257
72822258,12,0,1,0,12,12,3044,55672,7672,3026,12,305,7504,476
73320580,15,0,1,0,15,15,3044,55672,7746,3026,15,305,7560,476
# MARK wr tick=73320580
73320581,15,0,1,0,15,15,3044,55672,7746,3026,15,305,7560,476
73346312,12,0,1,0,12,12,3044,55672,7746,3026,12,305,7560,476
# MARK wr tick=73346312
73346313,12,0,1,0,12,12,3044,55672,7746,3026,12,305,7560,476
73378129,103,0,1,0,103,103,3044,55672,7746,3026,103,305,7560,476
# MARK wr tick=73378129
73378130,103,0,1,0,103,103,3044,55672,7746,3026,103,305,7560,476
73404273,120,0,1,0,120,120,3044,55672,7746,3026,120,305,7560,476
# MARK wr tick=73404273
73404274,120,0,1,0,120,120,3044,55672,7746,3026,120,305,7560,476
73436064,125,0,1,0,125,125,3044,55672,7746,3026,125,305,7560,476
# MARK wr tick=73436064
73436065,125,0,1,0,125,125,3044,55672,7746,3026,125,305,7560,476
73467821,40,0,1,0,40,40,3044,55672,7746,3026,40,305,7560,476
# MARK wr tick=73467821
73467822,40,0,1,0,40,40,3044,55672,7746,3026,40,305,7560,476
73493973,164,0,1,0,164,164,3044,55672,7746,3026,164,305,7560,476
# MARK wr tick=73493973
73493974,164,0,1,0,164,164,3044,55672,7746,3026,164,305,7560,476
