tick,MEMRD_ADDR,MEMRD_DATA,RAM_IDX,RAM_Q,CSA_12_0,s_maclk,BDRY
44319439,0,0,4002,111516,4333,0,0
44319440,0,0,4002,111516,4333,0,0
44320416,0,0,12005,400400,2001,0,0
44320417,0,0,12005,400400,17504,0,0
44320418,0,0,12005,400400,17504,0,0
44320419,55504,0,12005,400400,0,0,0
44320420,55504,0,12005,400400,6000,1,0
44320421,0,0,12026,400400,6000,1,0
# MARK ram tick=44320421
44320422,0,0,54026,400400,6000,1,0
44320423,0,0,55504,400400,6000,1,0
44320424,0,131451,55504,263051,7314,1,0
44320425,0,131451,55504,263051,7314,1,0
44320426,0,131451,55504,263051,7314,1,0
44320427,0,131451,54000,263051,7314,1,0
44353820,0,0,20010,705200,4341,1,0
44353821,0,0,20010,705200,4341,0,0
44353822,0,0,20010,705200,4342,0,0
44353823,0,0,20010,705200,4342,0,0
44353824,0,0,20010,705200,4342,0,0
44353825,12023,0,20010,705200,4342,0,0
# MARK addr tick=44353825
44353826,12023,0,20010,705200,4342,0,0
44353827,0,0,20005,705200,4342,0,0
44353828,0,0,12005,705200,4342,0,0
44353829,0,0,12023,705200,4342,0,0
# MARK ram tick=44353829
44353830,0,44400,12023,111400,4342,0,0
44353831,0,44400,12023,111400,4342,0,0
44353832,0,44400,12023,111400,4342,0,0
44353833,0,44400,12000,111400,4342,0,0
44353834,0,0,12005,111400,4342,0,0
44353835,0,0,12005,111400,4342,0,0
44353846,0,0,12005,111400,145,1,0
44353847,0,0,12005,111400,145,0,0
44353848,0,0,12005,111400,0,0,0
44353849,0,0,12005,111400,0,0,0
44353850,0,0,12005,111400,0,0,0
44353851,12023,0,12005,111400,0,0,0
# MARK addr tick=44353851
44353852,12023,0,12005,111400,0,0,0
44353853,0,0,12005,111400,0,0,0
44353854,44516,0,12005,111400,0,0,0
44353855,44516,0,12023,111400,0,1,0
# MARK ram tick=44353855
44353856,44516,0,12023,111400,0,0,0
44353857,44516,0,12023,111400,2001,0,0
44353858,44516,0,12023,111400,16166,0,0
44353859,44516,0,12000,111400,16166,0,0
44353860,44516,0,12005,111400,0,0,0
44353861,0,0,12005,111400,0,0,0
44604803,0,0,22011,705200,4341,1,0
44604804,0,0,22011,705200,4341,0,0
44604805,0,0,22011,705200,4345,0,0
44604806,0,0,22011,705200,4345,0,0
44604807,0,0,22011,705200,4345,0,0
44604808,5253,0,22011,705200,4345,0,0
# MARK addr tick=44604808
44604809,5253,0,22011,705200,4345,0,0
44604810,0,0,22002,705200,4345,0,0
44604811,0,0,4002,705200,4345,0,0
44604812,0,0,5253,705200,4345,0,0
# MARK ram tick=44604812
44604813,0,0,5253,400400,4345,0,0
44604814,0,0,5253,400400,4345,0,0
44604815,0,0,5253,400400,4345,0,0
44604816,0,0,4000,400400,4345,0,0
44604817,0,0,4002,400400,4345,0,0
44604818,0,0,4002,400400,4345,0,0
44604835,0,0,4002,400400,145,1,0
44604836,0,0,4002,400400,145,0,0
44604837,0,0,4002,400400,0,0,0
44604838,0,0,4002,400400,0,0,0
44604839,0,0,4002,400400,0,0,0
44604840,5253,0,4002,400400,0,0,0
# MARK addr tick=44604840
44604841,5253,0,4002,400400,0,0,0
44604842,0,0,4002,400400,0,0,0
44604843,51400,0,4002,400400,0,0,0
44604844,51400,0,5253,400400,0,1,0
# MARK ram tick=44604844
44604845,51400,0,5253,400400,0,0,0
44604846,51400,0,5253,400400,2001,0,0
44604847,51400,0,5253,400400,16423,0,0
44604848,51400,0,4000,400400,16423,0,0
44604849,51400,0,4002,400400,0,0,0
44604850,0,0,4002,400400,0,0,0
44616517,0,0,22011,304200,4332,1,0
44616518,0,0,22011,304200,4332,0,0
44616519,0,0,22011,304200,4334,0,0
44616520,0,0,22011,304200,4334,0,0
44616521,0,0,22011,304200,4334,0,0
44616522,5253,0,22011,304200,4334,0,0
# MARK addr tick=44616522
44616523,5253,0,22011,304200,4334,0,0
44616524,0,0,22002,304200,4334,0,0
44616525,0,0,4002,304200,4334,0,0
44616526,0,0,5253,304200,4334,0,0
# MARK ram tick=44616526
44616527,0,51400,5253,523400,4334,0,0
44616528,0,51400,5253,523400,4334,0,0
44616529,0,51400,5253,523400,4334,0,0
44616530,0,51400,4000,523400,4334,0,0
44616531,0,0,4002,523400,4334,0,0
44616532,0,0,4002,523400,4334,0,0
44617513,0,0,12005,400400,2001,0,0
44617514,0,0,12005,400400,17504,0,0
44617515,0,0,12005,400400,17504,0,0
44617516,55504,0,12005,400400,0,0,0
44617517,55504,0,12005,400400,6000,1,0
44617518,0,0,12026,400400,6000,1,0
# MARK ram tick=44617518
44617519,0,0,54026,400400,6000,1,0
44617520,0,0,55504,400400,6000,1,0
44617521,0,131451,55504,263051,7314,1,0
44617522,0,131451,55504,263051,7314,1,0
44617523,0,131451,55504,263051,7314,1,0
44617524,0,131451,54000,263051,7314,1,0
44656544,0,0,20010,705200,4341,1,0
44656545,0,0,20010,705200,4341,0,0
44656546,0,0,20010,705200,4345,0,0
44656547,0,0,20010,705200,4345,0,0
44656548,0,0,20010,705200,4345,0,0
44656549,12024,0,20010,705200,4345,0,0
# MARK addr tick=44656549
44656550,12024,0,20010,705200,4345,0,0
44656551,0,0,20005,705200,4345,0,0
44656552,0,0,12005,705200,4345,0,0
44656553,0,0,12024,705200,4345,0,0
# MARK ram tick=44656553
44656554,0,0,12024,400400,4345,0,0
44656555,0,0,12024,400400,4345,0,0
44656556,0,0,12024,400400,4345,0,0
44656557,0,0,12000,400400,4345,0,0
44656558,0,0,12005,400400,4345,0,0
44656559,0,0,12005,400400,4345,0,0
44656576,0,0,12005,400400,145,1,0
44656577,0,0,12005,400400,145,0,0
44656578,0,0,12005,400400,0,0,0
44656579,0,0,12005,400400,0,0,0
44656580,0,0,12005,400400,0,0,0
44656581,12024,0,12005,400400,0,0,0
# MARK addr tick=44656581
44656582,12024,0,12005,400400,0,0,0
44656583,0,0,12005,400400,0,0,0
44656584,51400,0,12005,400400,0,0,0
44656585,51400,0,12024,400400,0,1,0
# MARK ram tick=44656585
44656586,51400,0,12024,400400,0,0,0
44656587,51400,0,12024,400400,2001,0,0
44656588,51400,0,12024,400400,16166,0,0
44656589,51400,0,12000,400400,16166,0,0
44656590,51400,0,12005,400400,0,0,0
44656591,0,0,12005,400400,0,0,0
44912185,0,0,22011,705200,4341,1,0
44912186,0,0,22011,705200,4341,0,0
44912187,0,0,22011,705200,4342,0,0
44912188,0,0,22011,705200,4342,0,0
44912189,0,0,22011,705200,4342,0,0
44912190,5253,0,22011,705200,4342,0,0
# MARK addr tick=44912190
44912191,5253,0,22011,705200,4342,0,0
44912192,0,0,22002,705200,4342,0,0
44912193,0,0,4002,705200,4342,0,0
44912194,0,0,5253,705200,4342,0,0
# MARK ram tick=44912194
44912195,0,51400,5253,523400,4342,0,0
44912196,0,51400,5253,523400,4342,0,0
44912197,0,51400,5253,523400,4342,0,0
44912198,0,51400,4000,523400,4342,0,0
44912199,0,0,4002,523400,4342,0,0
44912200,0,0,4002,523400,4342,0,0
44912211,0,0,4002,523400,145,1,0
44912212,0,0,4002,523400,145,0,0
44912213,0,0,4002,523400,0,0,0
44912214,0,0,4002,523400,0,0,0
44912215,0,0,4002,523400,0,0,0
44912216,5253,0,4002,523400,0,0,0
# MARK addr tick=44912216
44912217,5253,0,4002,523400,0,0,0
44912218,0,0,4002,523400,0,0,0
44912219,51524,0,4002,523400,0,0,0
44912220,51524,0,5253,523400,0,1,0
# MARK ram tick=44912220
44912221,51524,0,5253,523400,0,0,0
44912222,51524,0,5253,523400,2001,0,0
44912223,51524,0,5253,523400,16423,0,0
44912224,51524,0,4000,523400,16423,0,0
44912225,51524,0,4002,523400,0,0,0
44912226,0,0,4002,523400,0,0,0
44913500,0,0,22011,304200,4332,1,0
44913501,0,0,22011,304200,4332,0,0
44913502,0,0,22011,304200,4333,0,0
44913503,0,0,22011,304200,4333,0,0
44913504,0,0,22011,304200,4333,0,0
44913505,5253,0,22011,304200,4333,0,0
# MARK addr tick=44913505
44913506,5253,0,22011,304200,4333,0,0
44913507,0,0,22002,304200,4333,0,0
44913508,0,0,4002,304200,4333,0,0
44913509,0,0,5253,304200,4333,0,0
# MARK ram tick=44913509
44913510,0,51524,5253,523124,4333,0,0
44913511,0,51524,5253,523124,4333,0,0
44913512,0,51524,5253,523124,4333,0,0
44913513,0,51524,4000,523124,4333,0,0
44913514,0,0,4002,523124,4333,0,0
44913515,0,0,4002,523124,4333,0,0
44914493,0,0,12005,400400,2001,0,0
44914494,0,0,12005,400400,17504,0,0
44914495,0,0,12005,400400,17504,0,0
44914496,55504,0,12005,400400,0,0,0
44914497,55504,0,12005,400400,6000,1,0
44914498,0,0,12026,400400,6000,1,0
# MARK ram tick=44914498
44914499,0,0,54026,400400,6000,1,0
44914500,0,0,55504,400400,6000,1,0
44914501,0,131451,55504,263051,7314,1,0
44914502,0,131451,55504,263051,7314,1,0
44914503,0,131451,55504,263051,7314,1,0
44914504,0,131451,54000,263051,7314,1,0
44953508,0,0,20010,705200,4341,1,0
44953509,0,0,20010,705200,4341,0,0
44953510,0,0,20010,705200,4342,0,0
44953511,0,0,20010,705200,4342,0,0
44953512,0,0,20010,705200,4342,0,0
44953513,12024,0,20010,705200,4342,0,0
# MARK addr tick=44953513
44953514,12024,0,20010,705200,4342,0,0
44953515,0,0,20005,705200,4342,0,0
44953516,0,0,12005,705200,4342,0,0
44953517,0,0,12024,705200,4342,0,0
# MARK ram tick=44953517
44953518,0,51400,12024,523400,4342,0,0
44953519,0,51400,12024,523400,4342,0,0
44953520,0,51400,12024,523400,4342,0,0
44953521,0,51400,12000,523400,4342,0,0
44953522,0,0,12005,523400,4342,0,0
44953523,0,0,12005,523400,4342,0,0
44953534,0,0,12005,523400,145,1,0
44953535,0,0,12005,523400,145,0,0
44953536,0,0,12005,523400,0,0,0
44953537,0,0,12005,523400,0,0,0
44953538,0,0,12005,523400,0,0,0
44953539,12024,0,12005,523400,0,0,0
# MARK addr tick=44953539
44953540,12024,0,12005,523400,0,0,0
44953541,0,0,12005,523400,0,0,0
44953542,51524,0,12005,523400,0,0,0
44953543,51524,0,12024,523400,0,1,0
# MARK ram tick=44953543
44953544,51524,0,12024,523400,0,0,0
44953545,51524,0,12024,523400,2001,0,0
44953546,51524,0,12024,523400,16166,0,0
44953547,51524,0,12000,523400,16166,0,0
44953548,51524,0,12005,523400,0,0,0
44953549,0,0,12005,523400,0,0,0
45207392,0,0,22011,705200,4341,1,0
45207393,0,0,22011,705200,4341,0,0
45207394,0,0,22011,705200,4345,0,0
45207395,0,0,22011,705200,4345,0,0
45207396,0,0,22011,705200,4345,0,0
45207397,5254,0,22011,705200,4345,0,0
# MARK addr tick=45207397
45207398,5254,0,22011,705200,4345,0,0
45207399,0,0,22002,705200,4345,0,0
45207400,0,0,4002,705200,4345,0,0
45207401,0,0,5254,705200,4345,0,0
# MARK ram tick=45207401
45207402,0,0,5254,400400,4345,0,0
45207403,0,0,5254,400400,4345,0,0
45207404,0,0,5254,400400,4345,0,0
45207405,0,0,4000,400400,4345,0,0
45207406,0,0,4002,400400,4345,0,0
45207407,0,0,4002,400400,4345,0,0
45207424,0,0,4002,400400,145,1,0
45207425,0,0,4002,400400,145,0,0
45207426,0,0,4002,400400,0,0,0
45207427,0,0,4002,400400,0,0,0
45207428,0,0,4002,400400,0,0,0
45207429,5254,0,4002,400400,0,0,0
# MARK addr tick=45207429
45207430,5254,0,4002,400400,0,0,0
45207431,0,0,4002,400400,0,0,0
45207432,51000,0,4002,400400,0,0,0
45207433,51000,0,5254,400400,0,1,0
# MARK ram tick=45207433
45207434,51000,0,5254,400400,0,0,0
45207435,51000,0,5254,400400,2001,0,0
45207436,51000,0,5254,400400,16423,0,0
45207437,51000,0,4000,400400,16423,0,0
45207438,51000,0,4002,400400,0,0,0
45207439,0,0,4002,400400,0,0,0
45209125,0,0,22011,304200,4332,1,0
45209126,0,0,22011,304200,4332,0,0
45209127,0,0,22011,304200,4334,0,0
45209128,0,0,22011,304200,4334,0,0
45209129,0,0,22011,304200,4334,0,0
45209130,5254,0,22011,304200,4334,0,0
# MARK addr tick=45209130
45209131,5254,0,22011,304200,4334,0,0
45209132,0,0,22002,304200,4334,0,0
45209133,0,0,4002,304200,4334,0,0
45209134,0,0,5254,304200,4334,0,0
# MARK ram tick=45209134
45209135,0,51000,5254,122400,4334,0,0
45209136,0,51000,5254,122400,4334,0,0
45209137,0,51000,5254,122400,4334,0,0
45209138,0,51000,4000,122400,4334,0,0
45209139,0,0,4002,122400,4334,0,0
45209140,0,0,4002,122400,4334,0,0
45210125,0,0,12005,400400,2001,0,0
45210126,0,0,12005,400400,17504,0,0
