tick,CSA,AREG,TREG,RP,RX,RB,CD16,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.s_alu_IDB_15_0_OUT,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.s_idbctl_IDB_15_0_OUT,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.s_FIDBO_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_csidbs4_0
71250373,16215,1206,177776,56215,7515,7672,0,0,0,55714,140065,1210,0,1210,0
71250374,16215,1206,177776,56215,7515,7672,0,0,0,55714,140065,1210,0,1210,0
71250375,0,1206,177776,56215,7515,7672,0,56215,0,55714,140065,1210,0,1210,0
71250376,6000,1206,177776,56215,7515,7672,0,56215,0,55714,140065,1210,0,1210,0
71250377,6000,1206,177776,56215,7515,7672,0,0,0,55714,140065,1210,0,1210,0
71250378,6000,1206,177776,56215,7515,7672,0,0,0,55714,140065,1210,0,1210,0
71250379,6000,1206,177776,56215,7515,7672,0,0,0,55714,140065,1210,0,1210,0
71250380,7240,1206,177776,56215,7515,7672,124017,0,124017,55714,140065,1210,0,1210,0
71250381,7240,1206,177776,56215,7515,7672,124017,0,124017,55714,140065,1210,0,1210,34
71250382,7240,1206,177776,56215,7515,7672,124017,0,124017,55714,140065,1210,0,1210,34
71250383,7240,1206,177776,56215,7515,7672,124017,0,124017,55714,140065,1210,0,1210,34
71250384,7240,1206,177776,56215,7515,7672,124017,0,0,55714,140065,1210,0,1210,34
71250385,7240,1206,177776,56215,7515,7672,124017,0,0,55714,140065,1210,0,1210,34
71250386,7240,1206,177776,56215,7515,7672,124017,0,0,55714,140065,1210,0,1210,34
71250387,0,1206,177776,56216,7515,7672,124017,0,0,55714,124017,0,0,0,34
71250388,0,1206,177776,56216,7515,7672,0,0,0,55714,124017,0,0,0,4
71250389,2001,1206,177776,56216,7515,7672,0,0,0,55714,124017,0,0,0,0
71250390,16234,1206,177776,56216,7515,7672,0,0,0,55714,124017,0,0,0,0
71250391,16234,1206,177776,56216,7515,7672,0,0,0,55714,124017,0,0,0,0
71250392,0,1206,177776,56216,7515,7672,0,56234,0,55714,124017,0,0,0,0
71250393,6000,1206,177776,56216,7515,7672,0,56234,0,55714,124017,0,0,0,0
71250394,6000,1206,177776,56216,7515,7672,0,0,0,55714,124017,0,0,0,0
71250395,6000,1206,177776,56216,7515,7672,0,0,0,55714,124017,0,0,0,0
71250396,6000,1206,177776,56216,7515,7672,0,0,0,55714,124017,0,0,0,0
71250397,6046,1206,177776,56216,7515,7672,4611,0,4611,55714,124017,0,0,0,0
71250398,6046,1206,177776,56216,7515,7672,4611,0,4611,55714,124017,0,0,0,0
71250399,6046,1206,177776,56216,7515,7672,4611,0,4611,55714,124017,0,0,0,0
71250400,6046,1206,177776,56216,7515,7672,4611,0,4611,55714,124017,0,0,0,0
71250401,6046,1206,177776,56216,7515,7672,4611,0,0,55714,124017,0,0,0,0
71250402,6046,1206,177776,56216,7515,7672,4611,0,0,55714,124017,0,0,0,0
71250403,6046,1206,177776,56216,7515,7672,4611,0,0,55714,124017,0,0,0,0
71250404,145,1206,177776,56235,7515,7672,5617,0,0,55714,4611,1206,0,1206,0
71250405,145,1206,177776,56235,7515,7672,1206,0,0,55714,4611,1206,0,1206,0
71250406,0,1206,177776,56235,7515,7672,1206,0,0,55714,4611,1206,0,1206,0
71250407,0,1206,177776,56235,7515,7672,1206,0,0,55714,4611,1206,0,1206,0
71250408,0,1206,177776,56235,7515,7672,1206,0,0,55714,4611,1206,0,1206,0
71250409,0,1206,177776,56235,7515,7672,1206,7503,0,55714,4611,1206,0,1206,0
71250410,0,1206,177776,56235,7515,7672,1206,7503,0,55714,4611,1206,0,1206,0
71250411,0,1206,177776,56235,7515,7672,1206,0,0,55714,4611,1206,0,1206,0
71250412,0,1206,177776,56235,7515,7672,1206,1206,0,55714,4611,1206,0,1206,0
71250413,0,1206,177776,56235,7515,7672,0,1206,0,55714,4611,0,0,0,0
71250414,0,1206,177776,56235,7515,7672,0,1206,0,55714,4611,0,0,0,4
71250415,2001,1206,177776,56235,7515,7672,0,1206,0,55714,4611,0,0,0,0
71250416,16235,1206,177776,56235,7515,7672,0,1206,0,55714,4611,0,0,0,0
71250417,16235,1206,177776,56235,7515,7672,0,1206,0,55714,4611,0,0,0,0
71250418,0,1206,177776,56235,7515,7672,0,1206,0,55714,4611,0,0,0,0
71250419,0,1206,177776,56235,7515,7672,0,0,0,55714,4611,0,0,0,0
71250420,0,1206,177776,56235,7515,7672,0,56235,0,55714,4611,0,0,0,0
71250421,6000,1206,177776,56235,7515,7672,0,56235,0,55714,4611,0,0,0,0
71250422,6000,1206,177776,56235,7515,7672,0,0,0,55714,4611,0,0,0,0
71250423,6000,1206,177776,56235,7515,7672,0,0,0,55714,4611,0,0,0,0
71250424,6000,1206,177776,56235,7515,7672,0,0,0,55714,4611,0,0,0,0
71250425,6446,1206,177776,56235,7515,7672,44607,0,44607,55714,4611,0,0,0,0
71250426,6446,1206,177776,56235,7515,7672,44607,0,44607,55714,4611,0,0,0,0
71250427,6446,1206,177776,56235,7515,7672,44607,0,44607,55714,4611,0,0,0,0
71250428,6446,1206,177776,56235,7515,7672,44607,0,44607,55714,4611,0,0,0,0
71250429,6446,1206,177776,56235,7515,7672,44607,0,0,55714,4611,0,0,0,0
71250430,6446,1206,177776,56235,7515,7672,44607,0,0,55714,4611,0,0,0,0
71250431,6446,1206,177776,56235,7515,7672,44607,0,0,55714,4611,0,0,0,0
71250432,170,1206,177776,56236,7515,7672,44607,0,0,55714,44607,55714,0,55714,0
71250433,170,1206,177776,56236,7515,7672,0,0,0,55714,44607,55714,0,55714,3
71250434,0,1206,177776,56236,7515,7672,0,0,0,55714,44607,55714,0,55714,3
71250435,0,1206,177776,56236,7515,7672,0,0,0,55714,44607,55714,0,55714,3
71250436,0,1206,177776,56236,7515,7672,0,0,0,55714,44607,55714,0,55714,3
71250437,0,1206,177776,56236,7515,7672,0,0,0,55714,44607,55714,0,55714,3
71250438,0,1206,177776,56236,7515,7672,0,0,0,55714,44607,55714,0,55714,3
71250439,0,1206,177776,56236,7515,7672,0,7501,0,55714,44607,55714,0,55714,3
71250440,0,1206,177776,56236,7515,7672,0,7501,0,55714,44607,55714,0,55714,3
71250441,0,1206,177776,56236,7515,7672,0,0,0,55714,44607,55714,0,55714,3
71250442,0,1206,177776,56236,7515,7672,0,0,0,55714,44607,55714,0,55714,3
71250443,0,1206,177776,56236,7515,7672,0,0,0,55714,44607,55714,0,55714,3
71250444,0,1206,177776,56236,7515,7672,15,0,15,55714,44607,55714,0,55714,3
71250445,0,1206,177776,56236,7515,7672,15,0,15,55714,44607,55714,0,55714,3
71250446,0,1206,177776,56236,7515,7672,15,0,15,55714,44607,55714,0,55714,3
71250447,0,1206,177776,56236,7515,7672,15,0,15,55714,44607,55714,0,55714,3
71250448,0,1206,177776,56236,7515,7672,15,0,0,55714,44607,55714,0,55714,3
71250449,0,1206,177776,56236,7515,7672,15,0,0,55714,44607,55714,0,55714,3
71250450,0,1206,177776,56236,7515,7672,15,0,0,55714,44607,55714,0,55714,3
71250451,0,1206,177776,56236,7515,7672,15,0,0,55714,15,15,0,15,3
71250452,0,1206,177776,56236,7515,7672,0,0,0,55714,15,15,0,15,4
71250453,2001,1206,177776,56236,7515,7672,0,0,0,55714,15,15,0,15,0
71250454,16236,1206,177776,56236,7515,7672,0,0,0,55714,15,15,0,15,0
71250455,16236,1206,177776,56236,7515,7672,0,0,0,55714,15,15,0,15,0
71250456,0,1206,177776,56236,7515,7672,0,56236,0,55714,15,15,0,15,0
71250457,6000,1206,177776,56236,7515,7672,0,56236,0,55714,15,15,0,15,0
71250458,6000,1206,177776,56236,7515,7672,0,0,0,55714,15,15,0,15,0
71250459,6000,1206,177776,56236,7515,7672,0,0,0,55714,15,15,0,15,0
71250460,6000,1206,177776,56236,7515,7672,0,0,0,55714,15,15,0,15,0
71250461,7352,1206,177776,56236,7515,7672,135254,0,135254,55714,15,15,0,15,0
71250462,7352,1206,177776,56236,7515,7672,135254,0,135254,55714,15,15,0,15,0
71250463,7352,1206,177776,56236,7515,7672,135254,0,135254,55714,15,15,0,15,0
71250464,7352,1206,177776,56236,7515,7672,135254,0,135254,55714,15,15,0,15,0
71250465,7352,1206,177776,56236,7515,7672,135254,0,0,55714,15,15,0,15,0
71250466,7352,1206,177776,56236,7515,7672,135254,0,0,55714,15,15,0,15,0
71250467,7352,1206,177776,56236,7515,7672,135254,0,0,55714,15,15,0,15,0
71250468,143,15,177776,56237,7515,7672,135254,0,0,55714,135254,56237,0,56237,0
71250469,143,15,177776,56237,7515,7672,0,0,0,55714,135254,56237,0,56237,34
71250470,0,15,177776,56237,7515,7672,0,0,0,55714,135254,56237,0,56237,34
71250471,0,15,177776,56237,7515,7672,0,0,0,55714,135254,56237,0,56237,34
71250472,0,15,177776,56237,7515,7672,0,0,0,55714,135254,56237,0,56237,34
71250473,0,15,177776,56237,7515,7672,0,56112,0,55714,135254,56237,0,56237,34
71250474,0,15,177776,56237,7515,7672,0,56112,0,55714,135254,56237,0,56237,34
71250475,0,15,177776,56237,7515,7672,0,0,0,55714,135254,56237,0,56237,34
71250476,0,15,177776,56237,7515,7672,0,0,0,55714,135254,56237,0,56237,34
71250477,0,15,177776,56237,7515,7672,0,0,0,55714,135254,56237,0,56237,34
71250478,0,15,177776,56237,7515,7672,55575,0,55575,55714,135254,56237,0,56237,34
71250479,0,15,177776,56237,7515,7672,55575,0,55575,55714,135254,56237,0,56237,34
71250480,0,15,177776,56237,7515,7672,55575,0,55575,55714,135254,56237,0,56237,34
71250481,0,15,177776,56237,7515,7672,55575,0,55575,55714,135254,56237,0,56237,34
71250482,0,15,177776,56237,7515,7672,55575,0,0,55714,135254,56237,0,56237,34
71250483,0,15,177776,56237,7515,7672,55575,0,0,55714,135254,56237,0,56237,34
71250484,0,15,177776,56237,7515,7672,55575,0,0,55714,135254,56237,0,56237,34
71250485,0,15,177776,56237,7515,7672,55575,0,0,55714,55575,0,0,0,34
71250486,0,15,177776,56237,7515,7672,0,0,0,55714,55575,0,0,0,4
71250487,2001,15,177776,56237,7515,7672,0,0,0,55714,55575,0,0,0,0
71250488,17575,15,177776,56237,7515,7672,0,0,0,55714,55575,0,0,0,0
71250489,17575,15,177776,56237,7515,7672,0,0,0,55714,55575,0,0,0,0
71250490,0,15,177776,56237,7515,7672,0,55575,0,55714,55575,0,0,0,0
71250491,6000,15,177776,56237,7515,7672,0,55575,0,55714,55575,0,0,0,0
71250492,6000,15,177776,56237,7515,7672,0,0,0,55714,55575,0,0,0,0
71250493,6000,15,177776,56237,7515,7672,0,0,0,55714,55575,0,0,0,0
