tick,CSA,AREG,TREG,RX,RD,RB,CD16,MEMRD_DATA,RAM_IDX,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_sw_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_arg_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_csidbs4_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_f_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_g_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_d_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_a_15_0,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.MWRITE50_n,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.DD_17_0_IN
47375164,1151,177777,0,15,5136,1147,2407,0,2001,1147,151000,63402,0,0,2407,175370,0,150,0,400400
47375165,1151,177777,0,15,5136,1147,2407,0,2001,1147,151000,63402,0,0,2407,175370,0,150,0,400400
47375166,1151,177777,0,15,5136,1147,2407,0,2001,1147,151000,63402,0,0,2407,175370,0,150,0,400400
47375167,1151,177777,0,15,5136,1147,5137,0,2001,2407,151000,3405,0,0,5136,172641,0,150,0,400400
47375168,1151,177777,0,15,5136,1147,5137,0,2001,2407,151000,3405,0,0,5136,172641,0,150,0,400400
47375169,1152,177777,0,15,5136,1147,5136,0,2001,2407,151000,3405,0,0,5136,172641,0,150,0,400400
47375170,1152,177777,0,15,5136,1147,116400,0,2001,5136,151000,57012,0,0,116400,61377,0,150,0,400400
47375171,1153,177777,0,15,5136,1147,116400,0,2001,5136,151000,57012,0,4,116400,61377,0,150,0,400400
47375172,1153,177777,0,15,5136,1147,116400,0,2001,5136,151000,57012,0,4,116400,61377,0,150,0,400400
47375173,1153,177777,0,15,5136,1147,170000,0,2001,116400,151000,235,170000,4,110000,7777,170000,20001,0,400400
47375174,1154,177777,0,15,5136,1147,170000,0,2001,116400,151000,235,170000,0,110000,7777,170000,20001,0,400400
47375175,1154,177777,0,15,5136,1147,170000,0,2001,116400,151000,235,170000,0,110000,7777,170000,20001,0,400400
47375176,1154,177777,0,15,5136,1147,110000,0,2001,116400,151000,360,0,0,110000,67777,0,110000,0,400400
47375177,1155,177777,0,15,5136,1147,110000,0,2001,116400,151000,360,0,4,110000,67777,0,110000,0,400400
47375178,1155,177777,0,15,5136,1147,110000,0,2001,116400,151000,360,0,4,110000,67777,0,110000,0,400400
47375179,1155,177777,0,15,5136,1147,7,0,2001,116400,151000,220,7,4,26400,177770,7,110000,0,400400
47375180,1156,177777,0,15,5136,1147,7,0,2001,116400,151000,220,7,0,26400,177770,7,110000,0,400400
47375181,1156,177777,0,15,5136,1147,7,0,2001,116400,151000,220,7,0,26400,177770,7,110000,0,400400
47375182,1156,177777,0,15,5136,1147,20001,0,2001,116400,151000,3400,140000,0,20001,157776,0,20000,0,400400
47375183,1157,177777,0,15,5136,1147,20001,0,2001,116400,151000,3400,140000,5,20001,157776,0,20000,0,400400
47375184,1156,177777,0,15,5136,1147,20001,0,2001,116400,151000,3400,140000,5,20001,157776,0,20000,0,400400
47375185,1156,177777,0,15,5136,1147,55656,0,2001,116400,151000,440,0,5,55656,122121,55656,110000,0,400400
47375186,1156,177777,0,15,5136,1147,55656,0,2001,116400,151000,440,0,5,55656,122121,55656,110000,0,400400
47375187,1156,177777,0,15,5136,1147,55656,0,2001,116400,151000,440,0,5,55656,122121,55656,110000,0,400400
47375188,1156,177777,0,55656,5136,1147,55656,0,2001,116400,151000,127133,0,5,55656,122121,55656,110000,0,400400
47375189,1156,177777,0,55656,5136,1147,55656,0,2001,116400,151000,127133,0,5,55656,122121,55656,110000,0,400400
47375190,1156,177777,0,55656,5136,1147,55656,0,2001,116400,151000,127133,0,5,55656,122121,55656,110000,0,400400
47375191,1156,177777,0,55656,5136,1147,1206,0,2001,116400,151000,127133,0,5,1206,176571,1206,110000,0,400400
47375192,1156,177777,0,55656,5136,1147,1206,0,2001,116400,151000,127133,0,5,1206,176571,1206,110000,0,400400
47375193,1156,177777,0,55656,5136,1147,1206,0,2001,116400,151000,127133,0,5,1206,176571,1206,110000,0,400400
47375194,1156,177777,1206,55656,5136,1147,300,0,2001,116400,151000,103002,0,5,300,177477,300,110000,0,400400
47375195,1156,177777,1206,55656,5136,1147,300,0,2001,116400,151000,103002,0,5,300,177477,300,110000,0,400400
47375196,1156,177777,1206,55656,5136,1147,300,0,2001,116400,151000,103002,0,5,300,177477,300,110000,0,400400
47375197,1156,300,1206,55656,5136,1147,16353,0,2001,116400,151000,140000,0,5,16353,161424,16353,110000,0,400400
47375198,1156,300,1206,55656,5136,1147,16353,0,2001,116400,151000,140000,0,5,16353,161424,16353,110000,0,400400
47375199,1156,300,1206,55656,5136,1147,16353,0,2001,116400,151000,140000,0,5,16353,161424,16353,110000,0,400400
47375200,1156,300,1206,55656,5136,1147,7671,0,2001,116400,151000,165434,0,5,7671,170106,7671,110000,0,400400
47375201,1156,300,1206,55656,5136,1147,7671,0,2001,116400,151000,165434,0,5,7671,170106,7671,110000,0,400400
47375202,1156,300,1206,55656,5136,1147,7671,0,2001,116400,151000,165434,0,5,7671,170106,7671,110000,0,400400
47375203,1156,300,1206,55656,5136,7671,55656,0,2001,116400,151000,134417,0,5,55656,122121,55656,110000,0,400400
47375204,1156,300,1206,55656,5136,7671,55656,0,2001,116400,151000,134417,0,5,55656,122121,55656,110000,0,400400
47375205,1156,300,1206,55656,5136,7671,55656,0,2001,116400,151000,134417,0,5,55656,122121,55656,110000,0,400400
47375206,1156,300,1206,55656,5136,7671,55672,0,2001,116400,151000,127133,0,5,55672,122105,55672,110000,0,400400
47375207,1156,300,1206,55656,5136,7671,55672,0,2001,116400,151000,127133,0,5,55672,122105,55672,110000,0,400400
47375208,1157,300,1206,55656,5136,7671,55672,0,2001,116400,151000,127133,0,5,55672,122105,55672,110000,0,400400
47375209,1157,300,1206,55656,55672,7671,110044,0,2001,116400,151000,135133,0,5,110044,67733,110044,110000,0,400400
47375210,1160,300,1206,55656,55672,7671,110044,0,2001,116400,151000,135133,0,5,110044,67733,110044,110000,0,400400
47375211,1160,300,1206,55656,55672,7671,110044,0,2001,116400,151000,135133,0,5,110044,67733,110044,110000,0,400400
47375212,1160,300,1206,55656,55672,7671,0,0,2001,116400,151000,22220,0,5,26444,177777,0,110044,0,400400
47375213,1161,300,1206,55656,55672,7671,0,0,2001,116400,151000,22220,0,0,26444,177777,0,110044,0,400400
47375214,1076,300,1206,55656,55672,7671,0,0,2001,116400,151000,22220,0,0,26444,177777,0,110044,0,400400
47375215,1076,300,1206,55656,55672,7671,110044,0,2001,116400,151000,0,0,0,110044,67733,0,110044,0,400400
47375216,1076,300,1206,55656,55672,7671,110044,0,2001,116400,151000,0,0,0,110044,67733,0,110044,0,400400
47375217,0,300,1206,55656,55672,7671,110044,0,2001,116400,151000,0,0,0,110044,67733,0,110044,0,400400
47375218,0,300,1206,55656,55672,7671,0,0,2001,116400,151000,22220,0,0,0,177777,0,110044,0,400400
47375219,0,300,1206,55656,55672,7671,0,0,2001,116400,151000,22220,0,4,0,177777,0,110044,0,400400
47375220,2001,300,1206,55656,55672,7671,0,0,2001,116400,151000,22220,0,0,0,177777,0,110044,0,400400
47375221,17656,300,1206,55656,55672,7671,0,0,2001,116400,151000,22220,0,0,0,177777,0,110044,0,400400
47375222,17656,300,1206,55656,55672,7671,0,0,2001,116400,151000,22220,0,0,0,177777,0,110044,0,400400
47375223,0,300,1206,55656,55672,7671,0,0,2001,116400,151000,22220,0,0,0,177777,0,110044,0,0
47375224,6000,300,1206,55656,55672,7671,0,0,2001,116400,151000,22220,0,0,0,177777,0,110044,0,0
47375225,6000,300,1206,55656,55672,7671,0,0,2026,116400,151000,22220,0,0,0,177777,0,110044,1,0
47375226,6000,300,1206,55656,55672,7671,0,0,54026,116400,151000,22220,0,0,0,177777,0,110044,1,0
47375227,6000,300,1206,55656,55672,7671,0,0,55656,116400,151000,22220,0,0,0,177777,0,110044,1,0
47375228,6046,300,1206,55656,55672,7671,4614,4614,55656,116400,151000,22220,0,0,0,177777,0,110044,1,0
47375229,6046,300,1206,55656,55672,7671,4614,4614,55656,116400,151000,22220,0,0,0,177777,0,110044,1,0
47375230,6046,300,1206,55656,55672,7671,4614,4614,55656,116400,151000,22220,0,0,0,177777,0,110044,1,0
47375231,6046,300,1206,55656,55672,7671,4614,4614,54000,116400,151000,22220,0,0,0,177777,0,110044,1,0
47375232,6046,300,1206,55656,55672,7671,4614,0,54026,116400,151000,22220,0,0,0,177777,0,110044,1,400400
