tick,UART_DIN,UART_ADDR,UART_CE_n,UART_WR,IOIDB8,CD16,FIDBO,THR,CSA_12_0
# MARK wr tick=71783778
71783779,111,0,0,1,111,111,111,111,476
71783780,111,0,0,1,111,111,111,111,0
71809909,141,0,1,1,141,30141,30141,111,476
71809910,117,0,0,1,117,117,117,111,476
# MARK wr tick=71809910
71809911,117,0,0,1,117,117,117,117,476
71809912,117,0,0,1,117,117,117,117,0
71841657,141,0,1,1,141,30141,30141,117,476
71841658,116,0,0,1,116,116,116,117,476
# MARK wr tick=71841658
71841659,116,0,0,1,116,116,116,116,476
71841660,116,0,0,1,116,116,116,116,0
71867810,141,0,1,1,141,30141,30141,116,476
71867811,40,0,0,1,40,40,40,116,476
# MARK wr tick=71867811
71867812,40,0,0,1,40,40,40,40,476
71867813,40,0,0,1,40,40,40,40,0
71899615,141,0,1,1,141,30141,30141,40,476
71899616,55,0,0,1,55,55,55,40,476
# MARK wr tick=71899616
71899617,55,0,0,1,55,55,55,55,476
71899618,55,0,0,1,55,55,55,55,0
71925764,141,0,1,1,141,30141,30141,55,476
71925765,40,0,0,1,40,40,40,55,476
# MARK wr tick=71925765
71925766,40,0,0,1,40,40,40,40,476
71925767,40,0,0,1,40,40,40,40,0
71958546,141,0,1,1,141,30141,30141,40,476
71958547,126,0,0,1,126,126,126,40,476
# MARK wr tick=71958547
71958548,126,0,0,1,126,126,126,126,476
71958549,126,0,0,1,126,126,126,126,0
71990341,141,0,1,1,141,30141,30141,126,476
71990342,145,0,0,1,145,145,145,126,476
# MARK wr tick=71990342
71990343,145,0,0,1,145,145,145,145,476
71990344,145,0,0,1,145,145,145,145,0
72016515,141,0,1,1,141,30141,30141,145,476
72016516,162,0,0,1,162,162,162,145,476
# MARK wr tick=72016516
72016517,162,0,0,1,162,162,162,162,476
72016518,162,0,0,1,162,162,162,162,0
72048322,141,0,1,1,141,30141,30141,162,476
72048323,163,0,0,1,163,163,163,162,476
# MARK wr tick=72048323
72048324,163,0,0,1,163,163,163,163,476
72048325,163,0,0,1,163,163,163,163,0
72080063,141,0,1,1,141,30141,30141,163,476
72080064,151,0,0,1,151,151,151,163,476
# MARK wr tick=72080064
72080065,151,0,0,1,151,151,151,151,476
72080066,151,0,0,1,151,151,151,151,0
72106208,141,0,1,1,141,30141,30141,151,476
72106209,157,0,0,1,157,157,157,151,476
# MARK wr tick=72106209
72106210,157,0,0,1,157,157,157,157,476
72106211,157,0,0,1,157,157,157,157,0
72137960,141,0,1,1,141,30141,30141,157,476
72137961,156,0,0,1,156,156,156,157,476
# MARK wr tick=72137961
72137962,156,0,0,1,156,156,156,156,476
72137963,156,0,0,1,156,156,156,156,0
72164103,141,0,1,1,141,30141,30141,156,476
72164104,72,0,0,1,72,72,72,156,476
# MARK wr tick=72164104
72164105,72,0,0,1,72,72,72,72,476
72164106,72,0,0,1,72,72,72,72,0
72195833,141,0,1,1,141,30141,30141,72,476
72195834,40,0,0,1,40,40,40,72,476
# MARK wr tick=72195834
72195835,40,0,0,1,40,40,40,40,476
72195836,40,0,0,1,40,40,40,40,0
72221994,141,0,1,1,141,30141,30141,40,476
72221995,103,0,0,1,103,103,103,40,476
# MARK wr tick=72221995
72221996,103,0,0,1,103,103,103,103,476
72221997,103,0,0,1,103,103,103,103,0
72253787,141,0,1,1,141,30141,30141,103,476
72253788,60,0,0,1,60,60,60,103,476
# MARK wr tick=72253788
72253789,60,0,0,1,60,60,60,60,476
72253790,60,0,0,1,60,60,60,60,0
72279920,141,0,1,1,141,30141,30141,60,476
72279921,63,0,0,1,63,63,63,60,476
# MARK wr tick=72279921
72279922,63,0,0,1,63,63,63,63,476
72279923,63,0,0,1,63,63,63,63,0
72311729,141,0,1,1,141,30141,30141,63,476
72311730,40,0,0,1,40,40,40,63,476
# MARK wr tick=72311730
72311731,40,0,0,1,40,40,40,40,476
72311732,40,0,0,1,40,40,40,40,0
72343530,141,0,1,1,141,30141,30141,40,476
72343531,55,0,0,1,55,55,55,40,476
# MARK wr tick=72343531
72343532,55,0,0,1,55,55,55,55,476
72343533,55,0,0,1,55,55,55,55,0
72370672,141,0,1,1,141,30141,30141,55,476
72370673,40,0,0,1,40,40,40,55,476
# MARK wr tick=72370673
72370674,40,0,0,1,40,40,40,40,476
72370675,40,0,0,1,40,40,40,40,0
72402495,141,0,1,1,141,30141,30141,40,476
72402496,61,0,0,1,61,61,61,40,476
# MARK wr tick=72402496
72402497,61,0,0,1,61,61,61,61,476
72402498,61,0,0,1,61,61,61,61,0
72434241,141,0,1,1,141,30141,30141,61,476
72434242,71,0,0,1,71,71,71,61,476
# MARK wr tick=72434242
72434243,71,0,0,1,71,71,71,71,476
72434244,71,0,0,1,71,71,71,71,0
72460402,141,0,1,1,141,30141,30141,71,476
72460403,70,0,0,1,70,70,70,71,476
# MARK wr tick=72460403
72460404,70,0,0,1,70,70,70,70,476
72460405,70,0,0,1,70,70,70,70,0
72492163,141,0,1,1,141,30141,30141,70,476
72492164,70,0,0,1,70,70,70,70,476
# MARK wr tick=72492164
72492165,70,0,0,1,70,70,70,70,476
72492166,70,0,0,1,70,70,70,70,0
72518295,141,0,1,1,141,30141,30141,70,476
72518296,55,0,0,1,55,55,55,70,476
# MARK wr tick=72518296
72518297,55,0,0,1,55,55,55,55,476
72518298,55,0,0,1,55,55,55,55,0
72550033,141,0,1,1,141,30141,30141,55,476
72550034,60,0,0,1,60,60,60,55,476
# MARK wr tick=72550034
72550035,60,0,0,1,60,60,60,60,476
72550036,60,0,0,1,60,60,60,60,0
72576194,141,0,1,1,141,30141,30141,60,476
72576195,63,0,0,1,63,63,63,60,476
# MARK wr tick=72576195
72576196,63,0,0,1,63,63,63,63,476
72576197,63,0,0,1,63,63,63,63,0
72608007,141,0,1,1,141,30141,30141,63,476
72608008,55,0,0,1,55,55,55,63,476
# MARK wr tick=72608008
72608009,55,0,0,1,55,55,55,55,476
72608010,55,0,0,1,55,55,55,55,0
72634168,141,0,1,1,141,30141,30141,55,476
72634169,60,0,0,1,60,60,60,55,476
# MARK wr tick=72634169
72634170,60,0,0,1,60,60,60,60,476
72634171,60,0,0,1,60,60,60,60,0
72665943,141,0,1,1,141,30141,30141,60,476
72665944,64,0,0,1,64,64,64,60,476
# MARK wr tick=72665944
72665945,64,0,0,1,64,64,64,64,476
72665946,64,0,0,1,64,64,64,64,0
72706210,141,0,1,1,141,30141,30141,64,476
72706211,15,0,0,1,15,15,15,64,476
# MARK wr tick=72706211
72706212,15,0,0,1,15,15,15,15,476
72706213,15,0,0,1,15,15,15,15,0
72731960,141,0,1,1,141,30141,30141,15,476
72731961,12,0,0,1,12,12,12,15,476
# MARK wr tick=72731961
72731962,12,0,0,1,12,12,12,12,476
72731963,12,0,0,1,12,12,12,12,0
72764705,141,0,1,1,141,30141,30141,12,476
72764706,40,0,0,1,40,40,40,12,476
# MARK wr tick=72764706
72764707,40,0,0,1,40,40,40,40,476
72764708,40,0,0,1,40,40,40,40,0
72796511,141,0,1,1,141,30141,30141,40,476
72796512,15,0,0,1,15,15,15,40,476
# MARK wr tick=72796512
72796513,15,0,0,1,15,15,15,15,476
72796514,15,0,0,1,15,15,15,15,0
72822256,141,0,1,1,141,30141,30141,15,476
72822257,12,0,0,1,12,12,12,15,476
# MARK wr tick=72822257
72822258,12,0,0,1,12,12,12,12,476
72822259,12,0,0,1,12,12,12,12,0
73320579,141,0,1,1,141,30141,30141,12,476
73320580,15,0,0,1,15,15,15,12,476
# MARK wr tick=73320580
73320581,15,0,0,1,15,15,15,15,476
73320582,15,0,0,1,15,15,15,15,0
73346311,141,0,1,1,141,30141,30141,15,476
73346312,12,0,0,1,12,12,12,15,476
# MARK wr tick=73346312
73346313,12,0,0,1,12,12,12,12,476
73346314,12,0,0,1,12,12,12,12,0
73378128,141,0,1,1,141,30141,30141,12,476
73378129,103,0,0,1,103,103,103,12,476
# MARK wr tick=73378129
73378130,103,0,0,1,103,103,103,103,476
73378131,103,0,0,1,103,103,103,103,0
73404272,141,0,1,1,141,30141,30141,103,476
73404273,120,0,0,1,120,120,120,103,476
# MARK wr tick=73404273
73404274,120,0,0,1,120,120,120,120,476
73404275,120,0,0,1,120,120,120,120,0
73436063,141,0,1,1,141,30141,30141,120,476
73436064,125,0,0,1,125,125,125,120,476
# MARK wr tick=73436064
73436065,125,0,0,1,125,125,125,125,476
73436066,125,0,0,1,125,125,125,125,0
73467820,141,0,1,1,141,30141,30141,125,476
73467821,40,0,0,1,40,40,40,125,476
# MARK wr tick=73467821
73467822,40,0,0,1,40,40,40,40,476
73467823,40,0,0,1,40,40,40,40,0
73493972,141,0,1,1,141,30141,30141,40,476
73493973,164,0,0,1,164,164,164,40,476
# MARK wr tick=73493973
73493974,164,0,0,1,164,164,164,164,476
73493975,164,0,0,1,164,164,164,164,0
73525704,141,0,1,1,141,30141,30141,164,476
73525705,171,0,0,1,171,171,171,164,476
# MARK wr tick=73525705
73525706,171,0,0,1,171,171,171,171,476
73525707,171,0,0,1,171,171,171,171,0
73551859,141,0,1,1,141,30141,30141,171,476
73551860,160,0,0,1,160,160,160,171,476
# MARK wr tick=73551860
73551861,160,0,0,1,160,160,160,160,476
73551862,160,0,0,1,160,160,160,160,0
73584659,141,0,1,1,141,30141,30141,160,476
73584660,145,0,0,1,145,145,145,160,476
# MARK wr tick=73584660
73584661,145,0,0,1,145,145,145,145,476
73584662,145,0,0,1,145,145,145,145,0
73617343,141,0,1,1,141,30141,30141,145,476
73617344,56,0,0,1,56,56,56,145,476
# MARK wr tick=73617344
73617345,56,0,0,1,56,56,56,56,476
73617346,56,0,0,1,56,56,56,56,0
73648889,141,0,1,1,141,30141,30141,56,476
73648890,56,0,0,1,56,56,56,56,476
# MARK wr tick=73648890
73648891,56,0,0,1,56,56,56,56,476
73648892,56,0,0,1,56,56,56,56,0
73674770,141,0,1,1,141,30141,30141,56,476
73674771,56,0,0,1,56,56,56,56,476
# MARK wr tick=73674771
73674772,56,0,0,1,56,56,56,56,476
73674773,56,0,0,1,56,56,56,56,0
73700664,141,0,1,1,141,30141,30141,56,476
73700665,56,0,0,1,56,56,56,56,476
# MARK wr tick=73700665
73700666,56,0,0,1,56,56,56,56,476
73700667,56,0,0,1,56,56,56,56,0
73732210,141,0,1,1,141,30141,30141,56,476
73732211,56,0,0,1,56,56,56,56,476
# MARK wr tick=73732211
73732212,56,0,0,1,56,56,56,56,476
73732213,56,0,0,1,56,56,56,56,0
73758114,141,0,1,1,141,30141,30141,56,476
73758115,56,0,0,1,56,56,56,56,476
# MARK wr tick=73758115
73758116,56,0,0,1,56,56,56,56,476
73758117,56,0,0,1,56,56,56,56,0
73789602,141,0,1,1,141,30141,30141,56,476
73789603,56,0,0,1,56,56,56,56,476
# MARK wr tick=73789603
73789604,56,0,0,1,56,56,56,56,476
73789605,56,0,0,1,56,56,56,56,0
73815492,141,0,1,1,141,30141,30141,56,476
73815493,56,0,0,1,56,56,56,56,476
# MARK wr tick=73815493
73815494,56,0,0,1,56,56,56,56,476
73815495,56,0,0,1,56,56,56,56,0
73846975,141,0,1,1,141,30141,30141,56,476
73846976,56,0,0,1,56,56,56,56,476
# MARK wr tick=73846976
73846977,56,0,0,1,56,56,56,56,476
73846978,56,0,0,1,56,56,56,56,0
73872863,141,0,1,1,141,30141,30141,56,476
73872864,56,0,0,1,56,56,56,56,476
# MARK wr tick=73872864
73872865,56,0,0,1,56,56,56,56,476
73872866,56,0,0,1,56,56,56,56,0
73904377,141,0,1,1,141,30141,30141,56,476
73904378,56,0,0,1,56,56,56,56,476
# MARK wr tick=73904378
73904379,56,0,0,1,56,56,56,56,476
73904380,56,0,0,1,56,56,56,56,0
73930258,141,0,1,1,141,30141,30141,56,476
73930259,56,0,0,1,56,56,56,56,476
# MARK wr tick=73930259
73930260,56,0,0,1,56,56,56,56,476
73930261,56,0,0,1,56,56,56,56,0
73961815,141,0,1,1,141,30141,30141,56,476
73961816,56,0,0,1,56,56,56,56,476
# MARK wr tick=73961816
73961817,56,0,0,1,56,56,56,56,476
73961818,56,0,0,1,56,56,56,56,0
73995455,141,0,1,1,141,30141,30141,56,476
73995456,72,0,0,1,72,72,72,56,476
# MARK wr tick=73995456
73995457,72,0,0,1,72,72,72,72,476
73995458,72,0,0,1,72,72,72,72,0
