tick,CSA,AREG,TREG,RP,RA,RT,RX,RB,RD,RL,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.MWRITE50_n,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.DD_17_0_IN,RAM_IDX
71247609,54,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,0,0,400400,2001
71247610,54,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247611,55,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247612,55,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247613,55,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247614,56,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247615,56,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247616,56,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247617,57,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247618,3743,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247619,3743,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247620,3743,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247621,1131,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247622,1131,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247623,1131,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247624,1133,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247625,1133,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,15,3,0,400400,2001
71247626,1133,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,15,3,0,400400,2001
71247627,1134,177777,116400,2523,177777,116400,15,1147,12532,2454,0,0,15,3,0,400400,2001
71247628,1134,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,15,3,0,400400,2001
71247629,1135,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,15,3,0,400400,2001
71247630,1135,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,15,3,0,400400,2001
71247631,1135,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,15,3,0,400400,2001
71247632,1136,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,15,3,0,400400,2001
71247633,1136,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,15,3,0,400400,2001
71247634,1136,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,15,3,0,400400,2001
71247635,1137,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,15,3,0,400400,2001
71247636,1137,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,15,3,0,400400,2001
71247637,1137,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247638,1140,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247639,1140,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247640,1140,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247641,1141,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247642,1141,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247643,1141,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247644,1142,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247645,1142,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247646,1142,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247647,1143,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247648,1132,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247649,1132,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247650,1132,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247651,0,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247652,0,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
71247653,0,177777,116400,2522,177777,116400,15,1147,12532,2454,0,0,20000,3,0,400400,2001
