tick,CSA,AREG,TREG,RX,CD16,FIDBO,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_sw_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_arg_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_csidbs4_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_f_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_g_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_d_15_0,ND120_TOP.CORE.CPU_BOARD.CPU.PROC.CGA.DELILAH.ALU.s_a_15_0
68391487,0,376,47,376,0,66661,0,0,60542,66661,61141,0,4,66661,111116,66661,0
68391488,2001,376,47,376,0,66661,0,0,60542,66661,61141,0,0,66661,111116,66661,0
68391489,16307,376,47,376,0,66661,0,0,60542,66661,61141,0,0,66661,111116,66661,0
68391490,16307,376,47,376,0,66661,0,0,60542,66661,61141,0,0,66661,111116,66661,0
68391491,0,376,47,376,0,66661,14307,0,60542,66661,61141,0,0,66661,111116,66661,0
68391492,6000,376,47,376,0,66661,14307,0,60542,66661,61141,0,0,66661,111116,66661,0
68391493,6000,376,47,376,0,66661,0,0,60542,66661,61141,0,0,66661,111116,66661,0
68391494,6000,376,47,376,0,66661,0,0,60542,66661,61141,0,0,66661,111116,66661,0
68391495,6000,376,47,376,0,66661,0,0,60542,66661,61141,0,0,66661,111116,66661,0
68391496,7422,376,47,376,142200,66661,0,142200,60542,66661,61141,0,0,66661,111116,66661,0
68391497,7422,376,47,376,142200,66661,0,142200,60542,66661,61141,0,0,66661,111116,66661,0
68391498,7422,376,47,376,142200,66661,0,142200,60542,66661,61141,0,0,66661,111116,66661,0
68391499,7422,376,47,376,142200,66661,0,142200,60542,66661,61141,0,0,66661,111116,66661,0
68391500,7422,376,47,376,142200,66661,0,0,60542,66661,61141,0,0,66661,111116,66661,0
68391501,7422,376,47,376,142200,66661,0,0,60542,66661,61141,0,0,66661,111116,66661,0
68391502,7422,376,47,376,142200,66661,0,0,60542,66661,61141,0,0,66661,111116,66661,0
68391503,4331,376,66661,376,162742,60542,0,0,60542,142200,130555,4331,0,60542,117235,0,0
68391504,4331,376,66661,376,60542,60542,0,0,60542,142200,130555,4331,0,60542,117235,0,0
68391505,4335,376,66661,376,60542,60542,0,0,60542,142200,130555,4331,0,60542,117235,0,0
68391506,4335,376,66661,376,376,376,0,0,60542,60542,61141,74335,0,376,177401,0,376
68391507,4335,376,66661,376,376,376,0,0,60542,60542,61141,74335,0,376,177401,0,376
68391508,4336,376,66661,376,376,376,0,0,60542,60542,61141,74335,0,376,177401,0,376
68391509,4336,376,66661,376,67060,67060,0,0,60542,60542,177000,60000,0,67060,110717,0,66661
68391510,4337,376,66661,376,67060,67060,0,0,60542,60542,177000,60000,10,67060,110717,0,66661
68391511,4332,376,66661,376,67060,67060,0,0,60542,60542,177000,60000,10,67060,110717,0,66661
68391512,4332,376,66661,376,0,1,0,0,60542,60542,30156,70350,10,0,177776,1,376
68391513,4332,376,66661,376,0,1,0,0,60542,60542,30156,70350,3,0,177776,1,376
68391514,4334,376,66661,376,0,1,0,0,60542,60542,30156,70350,3,0,177776,1,376
68391515,4334,376,66661,376,0,1,0,0,60542,60542,30156,70350,3,0,177776,1,376
68391516,4334,376,66661,376,0,1,0,0,60542,60542,30156,70350,3,0,177776,1,376
68391517,4334,376,66661,376,0,1,67060,0,60542,60542,30156,70350,3,0,177776,1,376
68391518,4334,376,66661,376,0,1,67060,0,60542,60542,30156,70350,3,0,177776,1,376
68391519,4334,376,66661,376,0,1,0,0,60542,60542,30156,70350,3,0,177776,1,376
68391520,4334,376,66661,376,0,1,0,0,60542,60542,30156,70350,3,0,177776,1,376
68391521,4334,376,66661,376,0,1,0,0,60542,60542,30156,70350,3,0,177776,1,376
68391522,4334,376,66661,376,67562,1,0,67562,60542,60542,30156,70350,3,0,177776,1,376
68391523,4334,376,66661,376,67562,1,0,67562,60542,60542,30156,70350,3,0,177776,1,376
68391524,4334,376,66661,376,67562,1,0,67562,60542,60542,30156,70350,3,0,177776,1,376
68391525,4334,376,66661,376,67562,1,0,67562,60542,60542,30156,70350,3,0,177776,1,376
68391526,4334,376,66661,376,67562,1,0,0,60542,60542,30156,70350,3,0,177776,1,376
68391527,4334,376,66661,376,67562,1,0,0,60542,60542,30156,70350,3,0,177776,1,376
68391528,4334,376,66661,376,67562,1,0,0,60542,60542,30156,70350,3,0,177776,1,376
68391529,4334,376,66661,376,67562,67562,0,0,60542,67562,400,4334,3,67562,110215,67562,0
68391530,4334,376,66661,376,67562,67562,0,0,60542,67562,400,4334,11,67562,110215,67562,0
68391531,4333,376,66661,376,67562,67562,0,0,60542,67562,400,4334,11,67562,110215,67562,0
68391532,4333,376,66661,376,71157,71157,0,0,67562,67562,71157,0,11,71157,106620,71157,0
68391533,4333,376,66661,376,71157,71157,0,0,67562,67562,71157,0,4,71157,106620,71157,0
68391534,377,376,66661,376,71157,71157,0,0,67562,67562,71157,0,4,71157,106620,71157,0
68391535,377,376,66661,376,0,377,0,0,71157,67562,67562,377,4,157,177400,377,0
68391536,377,376,66661,376,0,377,0,0,71157,67562,67562,377,0,157,177400,377,0
68391537,401,376,66661,376,0,377,0,0,71157,67562,67562,377,0,157,177400,377,0
68391538,16310,376,66661,376,0,377,0,0,71157,67562,67562,377,0,157,177400,377,0
68391539,16310,376,66661,376,0,377,0,0,71157,67562,67562,377,0,157,177400,377,0
