tick,MEMRD_ADDR,MEMRD_DATA,CD16,FIDBO,RA,RT,RD,RB,RX,CSA_12_0
60921323,0,0,172401,376,0,64402,125777,7632,125776,7724
60921324,0,0,172401,376,0,64402,125777,7632,125776,7724
60921325,0,0,172401,376,0,64402,125777,7632,125776,7724
60921326,0,0,172401,1,376,64402,125777,7632,125776,0
60921327,0,0,0,1,376,64402,125777,7632,125776,0
60921328,0,0,0,1,376,64402,125777,7632,125776,2001
60921329,0,0,0,1,376,64402,125777,7632,125776,16335
60921330,0,0,0,1,376,64402,125777,7632,125776,16335
60921331,24335,0,0,1,376,64402,125777,7632,125776,0
60921332,24335,0,0,1,376,64402,125777,7632,125776,6000
60921333,0,0,0,1,376,64402,125777,7632,125776,6000
60921334,0,0,0,1,376,64402,125777,7632,125776,6000
60921335,0,0,0,1,376,64402,125777,7632,125776,6000
60921336,0,4617,4617,1,376,64402,125777,7632,125776,6046
60921337,0,4617,4617,1,376,64402,125777,7632,125776,6046
60921338,0,4617,4617,1,376,64402,125777,7632,125776,6046
60921339,0,4617,4617,1,376,64402,125777,7632,125776,6046
60921340,0,0,4617,1,376,64402,125777,7632,125776,6046
60921341,0,0,4617,1,376,64402,125777,7632,125776,6046
60921342,0,0,4617,1,376,64402,125777,7632,125776,6046
60921343,0,0,4777,377,377,64402,125777,7632,125776,145
# MARK ra tick=60921343
60921344,0,0,377,377,377,64402,125777,7632,125776,145
60921345,0,0,377,377,377,64402,125777,7632,125776,0
60921346,0,0,377,377,377,64402,125777,7632,125776,0
60921889,7451,0,0,116400,0,65456,126000,7632,125777,0
60921890,7451,0,0,116400,0,65456,126000,7632,125777,0
60921891,0,0,0,116400,0,65456,126000,7632,125777,0
60921892,0,0,0,116400,0,65456,126000,7632,125777,0
60921893,0,0,0,116400,0,65456,126000,7632,125777,0
60921894,0,377,377,116400,0,65456,126000,7632,125777,0
60921895,0,377,377,116400,0,65456,126000,7632,125777,0
60921896,0,377,377,116400,0,65456,126000,7632,125777,0
60921897,0,377,377,116400,0,65456,126000,7632,125777,0
60921898,0,0,377,116400,0,65456,126000,7632,125777,0
60921899,0,0,377,116400,0,65456,126000,7632,125777,0
60921900,0,0,377,116400,0,65456,126000,7632,125777,0
60921901,0,0,377,377,0,65456,126000,7632,125777,0
60921902,0,0,0,377,0,65456,126000,7632,125777,0
60921903,0,0,0,377,0,65456,126000,7632,125777,2001
60921904,0,0,0,377,0,65456,126000,7632,125777,16334
60921905,0,0,0,377,0,65456,126000,7632,125777,16334
60921906,24334,0,0,377,0,65456,126000,7632,125777,0
60921907,24334,0,0,377,0,65456,126000,7632,125777,6000
60921908,0,0,0,377,0,65456,126000,7632,125777,6000
60921909,0,0,0,377,0,65456,126000,7632,125777,6000
60921910,0,0,0,377,0,65456,126000,7632,125777,6000
60921911,0,172401,172401,377,0,65456,126000,7632,125777,7724
60921912,0,172401,172401,377,0,65456,126000,7632,125777,7724
60921913,0,172401,172401,377,0,65456,126000,7632,125777,7724
60921914,0,172401,172401,377,0,65456,126000,7632,125777,7724
60921915,0,0,172401,377,0,65456,126000,7632,125777,7724
60921916,0,0,172401,377,0,65456,126000,7632,125777,7724
60921917,0,0,172401,377,0,65456,126000,7632,125777,7724
60921918,0,0,172401,1,377,65456,126000,7632,125777,0
# MARK ra tick=60921918
60921919,0,0,0,1,377,65456,126000,7632,125777,0
60921920,0,0,0,1,377,65456,126000,7632,125777,2001
60921921,0,0,0,1,377,65456,126000,7632,125777,16335
68391581,14313,0,0,0,157,47,0,7656,376,0
68391582,14313,0,0,0,157,47,0,7656,376,6000
68391583,0,0,0,0,157,47,0,7656,376,6000
68391584,0,0,0,0,157,47,0,7656,376,6000
68391585,0,0,0,0,157,47,0,7656,376,6000
68391586,0,146575,146575,0,157,47,0,7656,376,7465
68391587,0,146575,146575,0,157,47,0,7656,376,7465
68391588,0,146575,146575,0,157,47,0,7656,376,7465
68391589,0,146575,146575,0,157,47,0,7656,376,7465
68391590,0,0,146575,0,157,47,0,7656,376,7465
68391591,0,0,146575,0,157,47,0,7656,376,7465
68391592,0,0,146575,0,157,47,0,7656,376,7465
68391593,0,0,146575,377,157,47,0,7656,376,145
68391594,0,0,0,377,157,47,0,7656,376,145
68391595,0,0,0,377,157,47,0,7656,376,0
68391596,0,0,0,377,157,47,0,7656,376,16314
68391597,0,0,0,377,157,47,0,7656,376,16314
68391598,14314,0,0,377,157,47,0,7656,376,0
68391599,14314,0,0,377,157,47,0,7656,376,6000
68391600,0,0,0,377,157,47,0,7656,376,6000
68391601,0,0,0,377,157,47,0,7656,376,6000
68391602,0,0,0,377,157,47,0,7656,376,6000
68391603,0,4611,4611,377,157,47,0,7656,376,6046
68391604,0,4611,4611,377,157,47,0,7656,376,6046
68391605,0,4611,4611,377,157,47,0,7656,376,6046
68391606,0,4611,4611,377,157,47,0,7656,376,6046
68391607,0,0,4611,377,157,47,0,7656,376,6046
68391608,0,0,4611,377,157,47,0,7656,376,6046
68391609,0,0,4611,377,157,47,0,7656,376,6046
68391610,0,0,4777,377,377,47,0,7656,376,145
# MARK ra tick=68391610
68391611,0,0,377,377,377,47,0,7656,376,145
68391612,0,0,377,377,377,47,0,7656,376,0
68391613,0,0,377,377,377,47,0,7656,376,0
69067000,0,6412,177777,1,2266,66661,0,7656,2266,4334
69067001,0,6412,177777,1,2266,66661,0,7656,2266,4334
69067002,0,6412,177777,1,2266,66661,0,7656,2266,4334
69067003,0,0,177777,1,2266,66661,0,7656,2266,4334
69067004,0,0,177777,1,2266,66661,0,7656,2266,4334
69067005,0,0,177777,1,2266,66661,0,7656,2266,4334
69067006,0,0,177777,177777,2266,66661,0,7656,2266,4334
69067007,0,0,177777,177777,2266,66661,0,7656,2266,4334
69067008,0,0,177777,177777,2266,66661,0,7656,2266,4333
69067009,0,0,177777,177777,2266,66661,0,7656,2266,4333
69067010,0,0,177777,177777,2266,66661,0,7656,2266,4333
69067011,0,0,177777,177777,2266,66661,0,7656,2266,377
69067012,0,0,177777,377,2266,66661,0,7656,2266,377
69067013,0,0,0,377,2266,66661,0,7656,2266,377
69067014,0,0,0,377,2266,66661,0,7656,2266,401
69067015,0,0,0,377,2266,66661,0,7656,2266,16310
69067016,0,0,0,377,2266,66661,0,7656,2266,16310
69067017,14310,0,0,377,2266,66661,0,7656,2266,0
69067018,14310,0,0,377,2266,66661,0,7656,2266,6000
69067019,0,0,0,377,2266,66661,0,7656,2266,6000
69067020,0,0,0,377,2266,66661,0,7656,2266,6000
69067021,0,0,0,377,2266,66661,0,7656,2266,6000
69067022,0,171047,171047,377,2266,66661,0,7656,2266,7710
69067023,0,171047,171047,377,2266,66661,0,7656,2266,7710
69067024,0,171047,171047,377,2266,66661,0,7656,2266,7710
69067025,0,171047,171047,377,2266,66661,0,7656,2266,7710
