tick,CD16,AREG,TREG,FIDBO,CPUIDB,IOIDB8,THR,TXBYTE,CSA_12_0
# MARK idb7f tick=44024372
44024373,0,5,1206,176577,176577,177,76,76,215
44024374,0,5,1206,176577,176577,177,76,76,0
44024375,0,5,1206,176577,176577,177,76,76,16304
44024376,0,5,1206,176577,176577,177,76,76,16304
44029762,15,177777,116400,15,15,15,76,76,1131
44029763,15,177777,116400,15,15,15,76,76,1131
44029764,15,177777,116400,15,15,15,76,76,1133
44029765,2522,177777,116400,2522,2522,122,76,76,1133
# MARK idbR tick=44029765
44029766,2522,177777,116400,2522,2522,122,76,76,1133
44029767,2522,177777,116400,2522,2522,122,76,76,1134
44029768,15,177777,116400,15,15,15,76,76,1134
44029769,15,177777,116400,15,15,15,76,76,1135
44031379,173577,1206,2,7555,7555,155,76,76,7735
44031380,173577,1206,2,7555,7555,155,76,76,7735
44031381,173577,1206,2,7555,7555,155,76,76,7735
44031382,173577,1206,2,177,177,177,76,76,0
# MARK idb7f tick=44031382
44031383,0,1206,2,177,177,177,76,76,0
44031384,0,1206,2,177,177,177,76,76,2001
44031385,0,1206,2,177,177,177,76,76,17157
44031386,0,1206,2,177,177,177,76,76,17157
44031969,173577,1206,2,7566,7566,166,76,76,7735
44031970,173577,1206,2,7566,7566,166,76,76,7735
44031971,173577,1206,2,7566,7566,166,76,76,7735
44031972,173577,1206,2,177,177,177,76,76,0
# MARK idb7f tick=44031972
44031973,0,1206,2,177,177,177,76,76,0
44031974,0,1206,2,177,177,177,76,76,2001
44031975,0,1206,2,177,177,177,76,76,17157
44031976,0,1206,2,177,177,177,76,76,17157
44032240,146037,1206,2,177606,177606,206,76,76,7460
44032241,146037,1206,2,177606,177606,206,76,76,7460
44032242,146037,1206,2,177606,177606,206,76,76,7460
44032243,146037,1206,2,7577,7577,177,76,76,145
# MARK idb7f tick=44032243
44032244,0,1206,2,7577,7577,177,76,76,145
44032245,0,1206,2,7577,7577,177,76,76,0
44032246,0,1206,2,7577,7577,177,76,76,17172
44032247,0,1206,2,7577,7577,177,76,76,17172
44038020,15,177777,116400,15,15,15,76,76,1131
44038021,15,177777,116400,15,15,15,76,76,1131
44038022,15,177777,116400,15,15,15,76,76,1133
44038023,2522,177777,116400,2522,2522,122,76,76,1133
# MARK idbR tick=44038023
44038024,2522,177777,116400,2522,2522,122,76,76,1133
44038025,2522,177777,116400,2522,2522,122,76,76,1134
44038026,15,177777,116400,15,15,15,76,76,1134
44038027,15,177777,116400,15,15,15,76,76,1135
44042310,173577,0,0,755,755,355,111,111,7735
44042311,173577,0,0,755,755,355,111,111,7735
44042312,173577,0,0,755,755,355,111,111,7735
44042313,173577,0,0,177,177,177,111,111,0
# MARK idb7f tick=44042313
44042314,0,0,0,177,177,177,111,111,0
44042315,0,0,0,177,177,177,111,111,2001
44042316,0,0,0,177,177,177,111,111,17157
44042317,0,0,0,177,177,177,111,111,17157
44047265,15,177777,116400,15,15,15,111,111,1131
44047266,15,177777,116400,15,15,15,111,111,1131
44047267,15,177777,116400,15,15,15,111,111,1133
44047268,2522,177777,116400,2522,2522,122,111,111,1133
# MARK idbR tick=44047268
44047269,2522,177777,116400,2522,2522,122,111,111,1133
44047270,2522,177777,116400,2522,2522,122,111,111,1134
44047271,15,177777,116400,15,15,15,111,111,1134
44047272,15,177777,116400,15,15,15,111,111,1135
44048488,173577,1,117,7532,7532,132,111,111,7735
44048489,173577,1,117,7532,7532,132,111,111,7735
44048490,173577,1,117,7532,7532,132,111,111,7735
44048491,173577,1,117,177,177,177,111,111,0
# MARK idb7f tick=44048491
44048492,0,1,117,177,177,177,111,111,0
44048493,0,1,117,177,177,177,111,111,2001
44048494,0,1,117,177,177,177,111,111,17157
44048495,0,1,117,177,177,177,111,111,17157
44054488,15,177777,116400,15,15,15,111,111,1131
44054489,15,177777,116400,15,15,15,111,111,1131
44054490,15,177777,116400,15,15,15,111,111,1133
