tick,CSA,AREG,TREG,RP,RA,RT,RX,RB,MEMRD_ADDR,MEMRD_DATA,QREG,DBR,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.MWRITE50_n,ND120_TOP.CORE.CPU_BOARD.MEM.RAM.DD_17_0_IN,RAM_IDX
45505833,7465,125,5252,22450,125,5252,5,7753,0,0,51125,125,1,400400,22011
45505834,7465,125,5252,22450,125,5252,5,7753,0,0,51125,125,1,400400,22011
45505835,7465,125,5252,22450,125,5252,5,7753,0,0,51125,125,0,400400,22011
45505836,145,125,5252,22451,125,5252,5,7753,0,0,51125,146575,0,400400,22011
45505837,145,125,5252,22451,125,5252,5,7753,0,0,51125,146575,0,400400,22011
45505838,0,125,5252,22451,125,5252,5,7753,0,0,51125,146575,0,400400,22011
45505839,16451,125,5252,22451,125,5252,5,7753,0,0,51125,146575,0,400400,22011
45505840,16451,125,5252,22451,125,5252,5,7753,0,0,51125,146575,0,400400,22011
45505841,0,125,5252,22451,125,5252,5,7753,22451,0,51125,146575,0,0,22011
45505842,6000,125,5252,22451,125,5252,5,7753,22451,0,51125,146575,0,0,22011
45505843,6000,125,5252,22451,125,5252,5,7753,0,0,51125,146575,1,0,22011
45505844,6000,125,5252,22451,125,5252,5,7753,0,0,51125,146575,1,0,22011
45505845,6000,125,5252,22451,125,5252,5,7753,0,0,51125,146575,1,0,22451
45505846,6050,125,5252,22451,125,5252,5,7753,0,5010,51125,146575,1,0,22451
45505847,6050,125,5252,22451,125,5252,5,7753,0,5010,51125,146575,1,0,22451
45505848,6050,125,5252,22451,125,5252,5,7753,0,5010,51125,146575,1,0,22451
45505849,6050,125,5252,22451,125,5252,5,7753,0,5010,51125,146575,1,0,22000
45505850,6050,125,5252,22451,125,5252,5,7753,0,0,51125,146575,1,400400,22011
45505851,6050,125,5252,22451,125,5252,5,7753,0,0,51125,146575,1,400400,22011
45505852,6050,125,5252,22451,125,5252,5,7753,0,0,51125,146575,0,400400,22011
